deportee	122-21188-B
deportment	122-21280-B
deposable	122-21432-B
depose	122-21460-B
deposit	122-21659-B,120-22981-S,316-10904-S,398-2890-S,398-4270-S
deposit box	398-4326-S
depositary	122-22257-B
deposited resistor	122-22359-B
deposition	122-22412-B,148-14547-S,159-552-S
depositional	122-22593-B
depositor	122-22628-B
depository	122-22759-B
depot	122-22972-B
depravation	122-23285-B
deprave	122-23422-B
depraved	122-23531-B
depravedly	122-23615-B
depraver	122-23646-B
depravity	122-23674-B
deprecate	122-23867-B
deprecating	122-24163-B
deprecatingly	122-24408-B
deprecation	122-24598-B
deprecative	122-24797-B
deprecator	123-0-B
deprecatorily	123-32-B
deprecatory	123-69-B
depreciate	123-277-B
depreciatingly	123-501-B
depreciation	123-630-B,409-20159-S
depreciative	123-837-B
depreciator	123-931-B
depreciatory	123-1080-B
depredate	123-1139-B
depredation	123-1210-B
depredator	123-1321-B
depredatory	123-1402-B
depress	123-1547-B
depressant	123-2119-B
depressed	123-2212-B
depressible	123-2688-B
depressing	123-3035-B
depressingly	123-3231-B
depression	123-3308-B,281-11015-S
depressive	123-4045-B,281-11132-S
depressively	123-4172-B
depressiveness	123-4209-B
depressor	123-4246-B
depressurisation	123-4349-B
depressurise	123-4436-B
depressurization	123-4503-B
depressurize	123-4595-B
deprivable	123-4679-B
deprivation	123-4709-B
deprive	123-4845-B
deprived	123-4975-B
dept	123-5044-B
depth	123-5111-B
depth bomb	123-6072-B
depth charge	123-6122-B
depth finder	123-6207-B
depth gauge	123-6296-B
depth psychology	123-6368-B
depurate	123-6473-B
depuration	123-6553-B
depurative	123-6653-B
depurator	123-6817-B
deputation	123-6956-B
depute	123-7117-B
deputise	123-7315-B
deputization	123-7359-B
deputize	123-7392-B
deputy	123-7724-B
deputy mayor	123-8144-B
deputy sheriff	123-8193-B
dequeue	123-8285-B
deracinate	123-8333-B
deracination	123-8433-B
derail	123-8529-B
derailment	123-8698-B
derange	123-8776-B
deranged	123-9054-B
derangement	123-9145-B
derate	123-9358-B
deration	123-9412-B
derby	123-9508-B
deregister	123-9905-B
deregistration	123-9987-B
deregulate	123-10081-B
deregulation	123-10150-B
deregulator	123-10229-B
