deuterate	125-7601-B
deuteration	125-7682-B
deuterium	125-7771-B
deuterocanonical	125-7833-B
deuterogamy	125-7930-B
deuteron	125-8038-B
deuterostome	125-8098-B
deutoplasm	125-8196-B
deutschmark	125-8257-B
deux	1-2999-S,185-2267-S,330-21594-S
devalorization	125-8343-B
devalorize	125-8428-B
devaluate	125-8521-B
devaluation	125-8624-B
devalue	125-8744-B
devant	79-5427-S
devastate	125-8789-B
devastating	125-8870-B
devastatingly	125-8953-B
devastation	125-9037-B
devastative	125-9136-B
devastator	125-9218-B
develop	125-9326-B,321-2429-S
developable	125-10744-B,305-1065-S
developed country	125-10831-B
developer	125-10912-B
developing	125-11013-B
development	125-11104-B,321-2509-S,391-1800-S,409-20630-S
development support library	125-11816-B
development system	125-11891-B
development time	125-11946-B
development tool	125-11998-B
developmental	125-12047-B
developmentally	125-12193-B
deversion	125-12232-B
deviance	125-12304-B
deviancy	125-12386-B
deviant	125-12431-B
deviate	125-12512-B
deviation	125-12805-B,5-3543-S,20-12274-S,89-29729-S,190-13986-S,285-11788-S,440-16743-S
deviation compensator	125-13143-B
deviation constant	125-13192-B
deviation distortion	125-13239-B
deviation frequency	125-13294-B
deviation ratio	125-13341-B
deviation sensitivity	125-13383-B
deviationism	125-13434-B
deviationist	125-13550-B
deviator	125-13664-B
deviatory	125-13692-B
device	125-13752-B,1-509-S,4-6583-S,15-7895-S,18-12630-S,24-7460-S,32-20682-S,33-17866-S,34-7371-S,34-8248-S,39-10963-S,49-14099-S,52-3476-S,58-0-S,74-17772-S,89-13885-S,89-18087-S,91-1189-S,95-14159-S,103-22991-S,109-3388-S,114-18638-S,130-6055-S,149-9371-S,149-13732-S,149-13809-S,149-13898-S,150-4574-S,189-9642-S,223-30422-S,244-9330-S,249-17007-S,249-17137-S,337-5541-S,350-11112-S,510-8887-S
device allocation	125-14214-B,125-14266-S
device assignment device allocation	125-14266-B
device code	125-14331-B
device control character	125-14369-B
device direct access storage	130-5963-S
device driver	125-14441-B
device driver software	125-14509-B
device for input to computers	177-25393-S
device reconfiguration	143-10582-S
device type	125-14581-B
devices	37-998-S
devil	125-14622-B,114-1749-S,142-25565-S,203-14252-S,259-13733-S,407-1691-S,416-7318-S
devil dodger	125-16554-B
devil fish	125-16723-B
devil like	125-17299-B
devil may care	125-17410-B
devil s bones	125-17708-B
devil s books	125-17780-B
devil s darning needle	125-17845-B
devil s tattoo	125-17938-B
devil wood	125-18329-B
devil worship	125-18405-B
devildom	125-16645-B
devilish	125-16803-B
devilishly	125-16914-B
devilishness	125-16978-B
devilism	125-17132-B
devilment	125-17520-B
