direct access file	130-5763-B
direct access inquiry	130-7499-B
direct access memory	130-5813-B
direct access storage	130-5872-B,130-5963-S
direct access storage device	130-6055-B
direct access storage device direct access storage	130-5963-B
direct action	130-6141-B
direct addressing	130-6274-B
direct broadcast	130-6336-B
direct calling	130-6418-B
direct channel	130-6462-B
direct communication	130-6506-B
direct connect modem	130-7561-B
direct correlation	130-6566-B
direct coupled amplifier	130-7629-B
direct coupled transistor logic	130-7712-B
direct coupled transistor logic circuit	130-7793-B
direct coupling	130-6621-B
direct current	130-6666-B
direct current restorer	130-7897-B
direct current signaling	130-6719-B
direct current telegraphy	115-21166-S
direct debit	130-6800-B
direct dial	130-6886-B
direct grant	130-6919-B
direct line subscriber	130-7001-B
direct memory access channel	130-7081-B
direct method	130-7161-B
direct object	130-7229-B
direct proportion	130-7294-B
direct scanning	130-7382-B
direct speech	130-7427-B
direct tax	130-7468-B
directed	130-7981-B,243-21332-S,318-8371-S
direction	130-8038-B,439-18479-S
direction board	130-8651-B
direction finder	130-8728-B,130-9247-B,36-662-S
direction post	130-8781-B
direction sign	130-8839-B
directional	130-8920-B,47-19723-S,305-1151-S
directional radio link	130-9113-B
directional reception	130-9185-B
directions	439-18556-S
directive	130-9340-B
directivity factor	130-9482-B
directly	130-9564-B
directness	130-9671-B
directoire	130-9843-B
director	130-9921-B,193-10215-S,281-3270-S
director general	130-10429-B
directorate	130-10318-B,247-22897-S
directorial	130-10468-B
directorship	130-10540-B
directory	130-10609-B,97-19627-S,118-22640-S,132-20792-S,165-14761-S,177-16424-S,464-2595-S
directory tree	130-11008-B
directress	130-11048-B
directrices	130-11134-B
directrix	130-11252-B
direful	130-11301-B
dirge	130-11396-B
dirigibility	130-11508-B
dirigible	130-11591-B
dirigism	130-11775-B
diriment	130-11850-B
dirk	130-12052-B
dirndi	130-12152-B
dirndl	130-12221-B
dirt	130-12284-B,332-13579-S
dirt cheap	130-13150-B
dirt eating	130-13220-B
dirt farmer	130-12803-B,130-13286-B
dirt heap	130-12943-B
dirt road	130-13029-B
dirt track	130-13723-B
dirt wagon	130-13089-B
dirtily	130-13391-B
dirtiness	130-13516-B
dirty	130-13832-B
dirty linen	130-14861-B
dirty old man	130-14957-B
dirty word	130-15032-B
dis	130-15101-B
disability	130-15174-B
disable	130-15352-B
disabled	130-15702-B
disablement	130-15762-B
disabuse	130-16147-B
disaccharidase	130-16268-B
disaccharide	130-16343-B
disaccord	130-16403-B
disaccustom	130-16565-B
disadvantage	130-16661-B
disadvantaged	130-16866-B
disadvantageous	130-17025-B
disadvantageously	130-17167-B
disaffect	130-17239-B
disaffected	130-17381-B
disaffection	130-17577-B
disaffiliate	130-17800-B
disaffiliation	130-17903-B
disaffirm	130-18019-B
disaffirmation	130-18165-B
disafforest	130-18344-B
disafforestation	130-18396-B
disagree	130-18472-B
disagreeable	130-18933-B
disagreeableness	130-19062-B
disagreeables	130-19135-B
disagreeably	130-19248-B
disagreebles	130-19333-B
disagreement	130-19448-B
disallow	130-19736-B
disallowance	130-19884-B
disambiguate	130-20072-B
disambiguation	130-20154-B
disannul	130-20245-B
disannulment	130-20319-B
disant	429-12897-S
disappear	130-20403-B
disappearance	130-20473-B
disappoint	130-20560-B
disappointed	130-20814-B
disappointedly	130-20869-B
disappointing	130-20951-B
disappointingly	130-21040-B
disappointment	130-21110-B
disappreciate	130-21258-B
disapprobation	130-21349-B
disapprobative	130-21448-B
disapprobatory	130-21535-B
disappropriate	130-21599-B
disapproval	130-21687-B
disapprove	130-21791-B
disapprovingly	130-21876-B
disarm	130-21971-B
disarmament	130-22375-B,306-27808-S
disarming	130-22477-B
disarmingly	130-22539-B
disarrange	130-22590-B
disarrangement	130-22675-B
disarray	130-22776-B
disarticulate	130-22948-B
disarticulation	130-23062-B
disassemble	130-23188-B
disassembly	5-17700-S
disassimilation	130-23266-B
disassociate	130-23350-B
disassociation	130-23407-B
disaster	130-23471-B
disaster area	130-23629-B
disastrous	130-23670-B
disastrously	130-23757-B
disavow	130-23835-B
disavowal	130-23913-B
disbalance	130-24022-B
disband	130-24100-B
disbandment	130-24218-B
disbar	130-24319-B
disbark	130-24451-B
disbarment	130-24525-B
disbelief	131-0-B
disbelieve	131-59-B
disbeliever	131-208-B
disbench	131-296-B
disbosom	131-428-B
disbound	131-528-B
disbranch	131-600-B
disbud	131-681-B
disburd	131-770-B
disburden	131-839-B
disburse	131-1077-B
disbursement	131-1157-B
disc	131-1260-B,131-1377-B,89-20549-S,199-21297-S,231-7228-S,231-9038-S,392-22299-S,424-27798-S,462-20264-S
disc brake	131-1433-B
disc electrometer	34-1144-S
disc floret	131-1488-B
disc flower	131-1552-B
disc harrow	131-5985-B
disc jockey	131-1604-B,131-7838-B
disc player	131-1727-B
discalceate	131-1764-B
discalceated	131-1818-B
discalced	131-1908-B
discard	131-1957-B
discarnate	131-2244-B
discentangle	131-2371-B
discentric	131-2405-B
discern	131-2471-B
discernible	131-2714-B
discerning	131-2810-B
discernment	131-2910-B
discerp	131-3016-B
discerptibility	131-3085-B
discerptible	131-3188-B
discerption	131-3261-B
discharge	131-3340-B,28-638-S,33-9427-S,93-22586-S,101-7009-S,106-12223-S,148-5136-S,409-21103-S
discharge current	131-5145-B
discharge lamp	131-5193-B
discharge time	131-5277-B
discharge tube	131-5328-B,149-4737-S
dischargeable	131-5404-B
dischargee	131-5671-B
discharger	131-5766-B,28-690-S,409-21182-S
discharging	409-21278-S
dischronous	131-6051-B
disci	131-6113-B
disciform	131-6179-B
disciple	131-6234-B,163-15911-S
disciplinable	131-6377-B
disciplinal	131-6493-B
disciplinarian	131-6591-B
disciplinary	131-6939-B
discipline	131-7110-B,409-21354-S
disciplined	131-7593-B
discipular	131-7706-B
disclaim	131-7992-B
disclaimer	131-8131-B
disclamation	131-8182-B
disclose	131-8299-B
disclosure	131-8383-B
disco	131-8539-B
discoboli	131-8629-B
discobolus	131-8678-B
discographical	131-8812-B
discographically	131-8931-B
discography	131-9028-B
discoid	131-9247-B
discoidal	131-9299-B
discoil	131-9359-B
discolor	131-9410-B
discoloration	131-9455-B
discolorment	131-9518-B
discolour	131-9577-B
discolouration	131-9737-B
discolourment	131-9911-B
discombobulate	131-9971-B
discomfit	131-10058-B
discomfiture	131-10226-B
discomfort	131-10553-B
discomfortable	131-10888-B
discommend	131-10975-B
discommode	131-11064-B
discommodity	131-11162-B
discommon	131-11293-B
discommons	131-11465-B
discompose	131-11657-B
discomposedly	131-11800-B
discomposingly	131-11923-B
discomposure	131-12073-B
disconcert	131-12218-B
disconcerted	131-12433-B
disconcerting	131-12602-B
disconcertingly	131-12778-B
disconcertment	131-12871-B
discone antenna	131-13336-B
disconfirm	131-13381-B
disconformity	131-13444-B
discongruity	131-13546-B
disconnect	131-13665-B
disconnect signal	131-13828-B
disconnected	131-13873-B
disconnectedness	131-14127-B
disconnecting	131-14275-B
disconnecting switch	131-14329-B
disconnection	131-14377-B
disconnexion	131-14553-B
disconsider	131-14611-B
disconsolate	131-14685-B
disconsolately	131-14855-B
disconsolateness	131-14910-B
disconsolation	131-15006-B
discontent	131-15088-B
discontented	131-15274-B
discontentedly	131-15348-B
discontentment	131-15427-B
discontigous	131-15631-B
discontiguous	131-15691-B
discontinuance	131-15805-B
discontinuation	131-16017-B
discontinue	131-16084-B
discontinuity	131-16269-B
discontinuos	131-16548-B
discontinuous	131-16634-B
discontinuous spectrum	131-16721-B
discontinuous wave	131-16778-B
discontinuously	131-16831-B
discophile	131-16923-B
discoplacenta	131-17010-B
discord	131-17084-B
discordance	131-17413-B
discordant	131-17554-B
discordantly	131-17753-B
discoruse	131-17835-B
discotheque	131-17861-B
discount	131-17909-B
discountable	131-19154-B
discountenance	131-19658-B
discounter	131-19884-B
discourage	131-19988-B
discouraged	131-20165-B
discouragement	131-20237-B
discouraging	131-20514-B
discouragingly	131-20644-B
discourse	131-20710-B,239-25045-S
discourteous	131-21136-B
discourteously	131-21245-B
discourtesy	131-21330-B
discover	131-21457-B
discoverable	131-21599-B
discoverer	131-21740-B
discovert	131-21853-B
discovery	131-21962-B,410-0-S
discredit	131-22231-B
discreditable	131-22806-B
discreditably	131-22982-B
discreet	131-23059-B
discreetly	131-23192-B
discrepancy	131-23275-B
discrepant	131-23450-B
discrete	131-23639-B
discrete frequency	131-23808-B
discrete image	131-23859-B
discrete sample	131-23901-B
discrete signal	131-23944-B
discrete source	131-23993-B
discretely	131-24052-B
discreteness	131-24122-B
discretion	131-24268-B
discretionary	131-24891-B
discriminant	131-25054-B
discriminate	131-25138-B
discriminating	131-25739-B
discrimination	131-25931-B,177-27625-S
discriminative	131-26173-B
discriminator	131-26325-B,131-26384-B,49-10476-S,128-809-S,184-14551-S,188-8559-S,190-14055-S
discriminatory	131-26634-B
discrown	131-26775-B
disculpate	131-26832-B
discursion	131-26895-B
discursive	131-27003-B
discursively	131-27097-B
discursiveness	131-27167-B
discus	131-27281-B,466-14117-S
discuss	131-27318-B
discussible	131-27499-B
discussion	131-27593-B,326-12115-S
discussive	131-27896-B
disdain	131-27983-B
disdainful	131-28304-B
disdainfully	131-28454-B
disdainfulness	131-28530-B
disease	131-28621-B,7-9294-S,16-2409-S,41-7266-S,52-27660-S,58-23235-S,106-18266-S,111-10250-S,185-17959-S,193-5945-S,207-13268-S,217-11544-S,217-12551-S,221-22188-S,222-22194-S,224-17122-S,240-16965-S,256-3050-S,267-3249-S,273-1600-S,278-10019-S,329-12365-S,415-2625-S,423-4579-S,428-20304-S,447-3411-S,507-20184-S,510-18860-S
diseased	131-28734-B
disembark	131-28863-B
disembarkation	131-29072-B
disembarkment	131-29262-B
disembarrass	131-29350-B
disembodied	131-29552-B
