disinvestment	132-18968-B
disject	132-19051-B
disjecta membra	132-19118-B
disjoin	132-19243-B
disjoint	132-19333-B
disjointed	132-19445-B
disjointedly	132-19628-B
disjointedness	132-19686-B
disjointness	132-19779-B
disjunct	132-19811-B
disjunction	132-19900-B,237-17926-S
disjunctive	132-20049-B
disk	132-20298-B,34-7602-S,39-11015-S,39-17653-S,51-3821-S,55-6393-S,81-25459-S,89-20612-S,89-20662-S,100-8702-S,104-20003-S,115-22388-S,115-22782-S,121-6833-S,124-11611-S,126-6684-S,128-4112-S,128-14061-S,128-15335-S,137-24440-S,137-24529-S,142-19405-S,180-11311-S,180-11554-S,182-4429-S,183-1728-S,183-2045-S,187-15530-S,191-2438-S,215-5435-S,231-7303-S,231-9113-S,315-11157-S,402-20470-S
disk antenna	132-20328-B
disk array	132-20364-B
disk buffer	132-20410-B
disk cable	132-20449-B
disk cache	132-20486-B
disk caching program	132-20535-B
disk capacitor	132-20597-B
disk cartridge	132-20645-B
disk cleaner	132-20681-B
disk coil	132-20720-B
disk copy	132-20763-B
disk directory	132-20792-B
disk drive	132-20833-B,132-21837-B,141-18748-S,168-12025-S,183-1795-S
disk drive port	132-20887-B
disk floppy disk	182-4429-S
disk format	132-20929-B
disk formatter	132-20970-B
disk handler	132-21027-B
disk harrow	132-21967-B
disk icon	132-21077-B
disk interactive	89-20711-S
disk jockey	132-21117-B,132-22118-B
disk library	132-21332-B
disk memory	132-21372-B
disk operating system	132-21410-B,132-21511-B
disk pack	132-21581-B
disk partition	132-21638-B
disk read only memory	89-21079-S
disk resident program	132-22171-B
disk scanning	132-21684-B
disk sector	132-21719-B
disk space	132-21751-B
disk storage	132-21791-B
diskette	132-21891-B,39-11058-S,137-24382-S,138-8351-S
diskinesis	132-22042-B
disleaf	132-22245-B
disleave	132-22342-B
dislike	132-22383-B
dislocate	132-22521-B
dislocation	132-22784-B
dislodge	132-23062-B
dislodgement	132-23207-B
disloyal	132-23373-B
disloyalist	132-23585-B
disloyally	132-23811-B
disloyalty	132-23891-B
dismal	132-24089-B
dismally	133-0-B
dismalness	133-61-B
dismals	133-221-B
dismantle	133-415-B
dismantlement	133-667-B
dismask	133-932-B
dismast	133-990-B
dismay	133-1057-B
dismember	133-1216-B
dismemberment	133-1312-B
dismiss	133-1424-B
dismissal	133-1972-B
dismissible	133-2417-B
dismission	133-2712-B
dismissive	133-2786-B
dismissively	133-2852-B
dismount	133-2923-B
disnormality	133-3164-B
disobedience	133-3226-B,80-16756-S
disobedient	133-3327-B
disobediently	133-3417-B
disobey	133-3511-B
disobligation	133-3592-B
disoblige	133-3674-B
disobliging	133-3818-B
disobligingly	133-3964-B
disomatous	133-4057-B
disorder	133-4117-B,434-2753-S
disordered	133-4564-B
disorderliness	133-4632-B
disorderly	133-4776-B
disorderly house	133-5167-B
disordinate	133-5211-B
disorganisation	133-5280-B
disorganise	133-5364-B
disorganised	133-5475-B
disorganization	133-5559-B
disorganize	133-5676-B
disorganized	133-5730-B
disorient	133-5778-B
disorientate	133-5830-B
disorientation	133-6011-B
disown	133-6235-B
disownment	133-6449-B
disparage	133-6520-B
disparagement	133-6715-B,410-159-S
disparaging	133-6961-B
disparagingly	133-7158-B
disparate	133-7215-B
disparately	133-7401-B
disparateness	133-7459-B
disparates	133-7560-B
disparity	133-7642-B
dispark	133-7887-B
dispart	133-7967-B
dispassion	133-8096-B
dispassionate	133-8212-B
dispassionately	133-8343-B
dispatch	133-8427-B,349-14911-S
dispatch bag	133-9358-B
dispatch boat	133-9431-B
dispatch box	133-9499-B
dispatch dog	133-9646-B
dispatch note	133-9989-B
dispatch ride	133-10054-B
dispatch rider	133-10116-B
dispatch station	133-10232-B
dispatcher	133-9721-B
dispatching telephone control board	133-9824-B
dispatching telephone system	133-9907-B
dispel	133-10346-B
dispensable	133-10523-B
dispensary	133-10683-B
dispensation	133-10797-B
dispense	133-11210-B
dispensedly	133-11689-B
dispenser	133-11760-B,69-13476-S
dispeople	133-11860-B
dispersal	133-11975-B
disperse	133-12244-B
dispersedly	133-12563-B
disperser	133-12647-B
dispersible	133-12753-B
dispersion	133-12858-B,5-20750-S
dispersity	133-13326-B
dispersive	133-13406-B
dispersive spectroscopy	155-2765-S
dispersoid	133-13508-B
dispirit	133-13578-B
dispirited	133-13685-B
dispiritedly	133-13753-B
dispiritedness	133-13851-B
dispiriting	133-13967-B
dispiteous	133-14143-B
dispiteously	133-14234-B
displace	133-14308-B
displace person	133-14498-B
displaceable	133-14739-B
displaced person	133-14832-B
displacement	133-15073-B,269-25290-S,272-14893-S,275-8351-S
display	133-15551-B,6-19519-S,8-6193-S,15-4324-S,15-7834-S,50-768-S,92-4246-S,106-12273-S,108-14486-S,128-12934-S,137-18459-S,187-15587-S,197-71-S,206-16585-S,208-1212-S,410-287-S
display adapter	133-16021-B
display attribute	133-16077-B
display character generator	133-16131-B
display command	133-16201-B
display console	133-16244-B
display controller	206-18100-S
display device	15-7895-S
display highlighting	133-16303-B
display image	133-16378-B
display panel	133-16420-B
display processor	133-16484-B
display refreshing	133-16538-B
display register	133-16590-B
display screen	133-16638-B
display stand	133-16795-B
display terminal	133-16686-B
display type	133-16760-B
display unit	511-19451-S
display window	133-16862-B
displease	133-16921-B
displeased	133-17205-B
displeasing	133-17273-B
displeasingly	133-17419-B
displeasure	133-17525-B
displume	133-17823-B
disport	133-17912-B
disposability	133-18182-B
disposable	133-18409-B
disposable income	133-18626-B
disposables	133-18736-B
disposal	133-18835-B,54-9420-S,54-10751-S
dispose	133-19529-B
disposed	133-20708-B,164-7055-S,232-5020-S,517-32259-S
disposedness	232-5142-S
disposition	133-20795-B,152-13777-S
dispossess	133-21602-B
dispossessed	133-22093-B
dispossession	133-22191-B
dispossessor	133-22437-B
dispraise	133-22519-B,410-378-S
