dorsiferous	137-14548-B
dorsifixed	137-14650-B
dorsigrade	137-14738-B
dorsispinal	137-14809-B
dorsiventral	137-14885-B
dorsiventrality	137-14971-B
dorsoventral	137-15067-B
dorsum	137-15154-B
dorter	137-15227-B
dortour	137-15296-B
dory	137-15335-B,227-21393-S,256-2804-S
dos	137-15497-B,137-15529-B,137-15726-S,170-25208-S,297-11002-S
dos aì dos	137-15726-B
dosage	137-15627-B
dose	137-15794-B
dosimeter	137-16115-B
dosimetric	137-16183-B
dosimetry	137-16262-B
dosispinal	137-16356-B
dosology	137-16431-B
doss	137-16494-B
doss house	137-16656-B,137-16862-B
dossal	137-16708-B
dosser	137-16770-B
dossier	137-16934-B
dost	137-16981-B
dot	137-17062-B,351-5485-S
dot and dash	137-18157-B,137-18842-B
dot and go one	137-18992-B
dot matrix	137-18316-B,137-19883-B
dot matrix display	137-18459-B
dot matrix printer	137-18516-B,137-19920-B
dot per inch	137-18565-B
dot pitch	137-18615-B
dot printer	137-18664-B
dot prompt	137-18704-B
dotage	137-18737-B
dotard	137-19215-B
dotation	137-19308-B
dote	137-19417-B
doth	137-19447-B
doting	137-19530-B
dotingly	137-19753-B
dots	351-5322-S
dotted	137-19979-B
dottel	137-20078-B
dotterel	137-20114-B
dottiness	137-20156-B
dottle	137-20215-B
dottrel	137-20293-B
dotty	137-20363-B
doty	137-20557-B
douane	137-20609-B
doub e entendre	137-20677-B
doube entendre	137-20801-B
double	137-20936-B,411-11720-S
double acting	138-2311-B
double agent	137-23522-B
double banking	138-2412-B
double bar	137-23661-B
double barrel	138-2502-B
double barreled	138-2568-B
double barrelled	138-2679-B
double bass	137-23686-B,138-2815-B
double bed	137-23733-B,138-2882-B
double bedded	138-2941-B
double bill	137-23762-B
double bind	137-23881-B
double bitt	138-3049-B
double blind	138-3183-B
double bluff	137-23965-B
double boiler	138-3350-B
double book	138-3424-B
double booking	138-3533-B
double bottomed	138-3653-B
double breasted	138-3720-B
double breasting	138-3790-B
double buffering	137-24034-B
double cased	138-3843-B
double character	137-24088-B
double check	138-3918-B
double checked	138-3987-B
double chin	137-24129-B
double circuit	138-4071-B
double click	137-24173-B,138-4149-B
double concave	138-4356-B
double convex	138-4437-B
double cream	137-24227-B
double cross	138-4518-B
double crosser	138-4721-B
double date	137-24308-B,138-4786-B
double deal	138-4845-B
double dealer	138-4895-B
double dealing	138-5000-B
double decker	138-5164-B
double declutch	138-5309-B
double decomposition	138-5404-B
double density diskette	137-24382-B
