expiable	167-7475-B
expiate	167-7579-B
expiation	167-7646-B
expiator	167-7726-B
expiatory	167-7811-B
expiire	167-7893-B
expirable	167-8111-B
expiration	167-8219-B
expiratory	167-8371-B
expire	167-8449-B
expired	469-23656-S
expiring	167-8683-B
expiry	167-8763-B
expiscate	167-8837-B
explain	167-8912-B
explainable	167-9203-B
explainer	167-9368-B
explaining	410-2206-S
explanate	167-9524-B
explanation	167-9583-B
explanatorily	167-9801-B
explanatory	167-9838-B,410-2336-S
explant	167-9986-B
explantation	167-10139-B
explement	167-10245-B
explementary	167-10361-B
expletive	167-10397-B
explicable	167-10618-B
explicably	167-10758-B
explicate	167-10791-B
explication	167-10922-B
explication de texte	167-10955-B
explicative	167-11165-B
explicatively	167-11218-B
explicator	167-11255-B
explicatory	167-11287-B
explicit	167-11392-B
explicitly	167-11539-B
explicitness	167-11609-B
explode	167-11736-B
exploded	167-11971-B
explodent	167-12101-B
exploder	167-12187-B
exploit	167-12215-B
exploitability	167-12375-B
exploitable	167-12410-B
exploitage	167-12550-B
exploitation	167-12746-B
exploitative	167-12803-B
exploitatively	167-12836-B
exploited	489-6861-S
exploiter	167-12871-B
exploitive	167-13003-B
exploitively	167-13033-B
exploration	167-13066-B,432-12722-S
explorative	167-13204-B
exploratory	167-13289-B
explore	167-13346-B
explorer	167-13455-B
exploring	167-13563-B
explosibility	167-13641-B
explosible	167-13721-B
explosion	167-13781-B,88-4606-S,353-18281-S
explosion proof	167-14011-B
explosive	167-14092-B,220-22732-S,346-21539-S
explosively	167-14381-B
explosiveness	167-14453-B
expo	167-14596-B
exponent	167-14697-B
exponent overflow	167-15004-B
exponent sign	167-15065-B
exponent underflow	167-15098-B
exponential	167-15162-B
exponential curve	167-15376-B
exponential factor	167-15427-B
exponential function	167-15476-B
exponentially	167-15548-B
exponentiation	167-15617-B
exponible	167-15697-B
export	167-15763-B,382-20355-S
exportability	167-15968-B
exportable	167-16000-B
exportation	167-16070-B,382-20444-S
exporter	167-16139-B
exposal	167-16225-B
expose	167-16299-B,167-16445-B,321-5688-S
