altar boy	15-10734-B
altar cloth	15-10813-B
altar piece	15-10885-B
alter	15-10963-B
alter ego	15-11410-B
alterability	15-11489-B
alterable	15-11631-B
alterable control element	176-16229-S
alterable read only memory	148-7958-S
alterable read only storage	15-11747-B
alterableness	15-11824-B
alterably	15-11883-B
alteration	15-11914-B
alteration switch	15-12050-B
alterative	15-12105-B
altercate	15-12312-B
altercation	15-12517-B
alternant	15-12628-B
alternate	15-12736-B
alternate angle	15-13485-B
alternate angles	15-13521-B
alternate current signaling	15-13673-B
alternate data set	15-13754-B
alternate key	15-13813-B
alternate line scanning	15-13846-B
alternate map	15-13900-B
alternate map register	15-13975-B
alternate map register set	15-14068-B
alternate path	15-14177-B
alternate route	15-14239-B
alternate routing	15-14286-B
alternately	15-14395-B
alternateness	15-14481-B
alternating	15-14516-B,304-21192-S
alternating acknowledge	15-14786-B
alternating current	15-14840-B,149-2874-S
alternating current bias	15-14921-B
alternating current bridge	15-15006-B
alternating current generator	15-15067-B
alternating current hum	15-15144-B
alternating field	15-15207-B
alternating flux	15-15257-B
alternating group	15-15312-B
alternating load	15-15361-B
alternating routing	15-15406-B
alternating voltage	15-15458-B
alternation	15-15526-B
alternative	15-15692-B
alternative command	15-16327-B
alternative current receptacle	15-16374-B
alternative current socket	15-16450-B
alternative hypothesis	15-16523-B
alternative protocol	15-16589-B
alternatively	15-16642-B
alternativity	15-16725-B
alternator	15-16824-B
alterne	15-16904-B
alternipetalous	15-16968-B
alterniphyllous	15-17049-B
althaea	15-17139-B
altho	15-17232-B
although	15-17290-B
altigraph	15-17356-B
altimeter	15-17434-B,2-23995-S,376-1665-S
altimetric	15-17556-B
altimetry	15-17588-B
altisonant	15-17618-B
altitude	15-17688-B
altitude bombing	483-10763-S
altitude error	15-18074-B
altitude indicator	15-18117-B
altitude sickness	15-18193-B
altitudinal	15-18286-B
alto	15-18318-B,280-14066-S
alto cumulus	15-18523-B
alto relievo	15-19209-B
alto stratus	15-19352-B
altogether	15-18609-B
altogetherness	15-19082-B
altricial	15-19438-B
altricially	15-19538-B
altruically	15-19589-B
altruism	16-0-B
altruist	16-106-B
altruistic	16-203-B
altruistically	16-314-B
alu	16-349-B
alula	16-383-B
alum	16-518-B
alumina	16-668-B
aluminiferous	16-725-B
aluminium	16-804-B,16-1031-S
aluminous	16-856-B
aluminum	16-960-B
aluminum aluminium	16-1031-B
aluminum cable	16-1067-B
aluminum conductor	16-1102-B
alumna	16-1147-B
alumnae	16-1281-B
alumni	16-1322-B
alumnus	16-1364-B
alunite	16-1489-B
alutaceous	16-1534-B
alveated	16-1610-B
alveolar	16-1679-B
alveolate	16-1787-B
alveolation	16-1853-B
alveoli	16-1886-B
alveolitis	16-1931-B
alveolus	16-2031-B
