fardel	172-4722-B
fare	172-4793-B,48-8332-S,389-17776-S
fare stage	172-5732-B,172-6036-B
fared	196-16222-S
farewell	172-6174-B
farina	172-6841-B
farinaceous	172-6972-B
farine	172-7063-B
farinose	172-7168-B
farl	172-7243-B
farm	172-7357-B,38-13520-S,87-2539-S,113-8513-S,174-5092-S,179-19137-S,193-15310-S,193-16528-S,217-1598-S,223-23315-S,318-6672-S,323-12527-S,355-9217-S,414-30345-S,444-16440-S,448-8547-S,479-12539-S
farm bailiff	172-7864-B
farm hand	172-8192-B
farm house	172-8276-B
farm tractor	172-8773-B
farm village	172-8832-B
farmable	172-7778-B
farmer	172-7949-B,38-13580-S,130-12803-S,130-13286-S,416-8464-S,444-16508-S,462-21979-S,479-12613-S
farmer general	172-8053-B
farmery	172-8141-B
farming	172-8386-B,38-13649-S,102-17644-S,141-13292-S,170-12003-S,179-19193-S,193-15381-S,193-16595-S,221-0-S,268-13761-S,293-5662-S,323-12602-S,343-25910-S,355-9363-S,444-16583-S,447-22617-S,451-2886-S,475-26526-S
farmland	172-8593-B
farmost	172-8669-B
farmstead	172-8718-B
farmyard	172-8901-B
farniente	136-14833-S
farnsworth tube	172-8955-B
faro	172-9050-B
farouche	172-9187-B
farraginous	172-9288-B
farrago	172-9374-B
farrier	172-9590-B
farriery	172-9757-B
farrow	172-9857-B
fart	172-10298-B
farther	172-10772-B
fartherance	172-11180-B
farthermost	172-11262-B
farthest	172-11312-B
farthing	172-11489-B,78-16007-S,335-4680-S,335-5575-S,468-2670-S
farthingale	172-11797-B
fartlek	172-11885-B
fasces	172-11970-B
fascia	172-12112-B
fasciae	172-12153-B
fascial	172-12379-B
fasciated	172-12453-B
fascicle	172-12564-B
fascicled	172-12608-B
fascicular	172-12655-B
fasciculate	172-12706-B
fasciculated	172-12814-B
fasciculation	172-12870-B
fascicule	172-12985-B
fasciculus	172-13033-B
fascinate	172-13123-B
fascinating	172-13217-B
fascinatingly	172-13300-B
fascination	172-13377-B
fascinator	172-13494-B
fascine	172-13584-B
fascio	172-13721-B
fasciola	172-13791-B
fasciole	172-13894-B
fascisization	172-13955-B
fascisize	172-14031-B
fascism	172-14094-B,23-6837-S
fascist	172-14158-B,23-7091-S,301-30749-S
fascista	172-14248-B
fascistic	172-14363-B
fascitization	172-14418-B
fascitize	172-14482-B
fascization	172-14543-B
fascize	172-14602-B
fash	172-14647-B
fashion	172-14777-B,59-2436-S,221-64-S,319-15890-S,330-827-S,382-20913-S
fashion plate	172-16396-B
fashionable	172-15707-B
fashionableness	172-15904-B
fashionably	172-16042-B
fashioned	172-16130-B,192-21684-S,193-0-S,311-18966-S,312-374-S
fashionedness	312-504-S
fashionmonger	172-16291-B
fast	172-16510-B,87-18163-S,144-7186-S,443-8382-S
fast acting	172-18400-B
fast break	172-17824-B
fast curing	172-18467-B
fast day	172-18533-B
fast energy detector	172-18096-B
fast food	172-18165-B
fast fourier transformation	172-18314-B
