fifth	177-2465-B
fifth columnist	177-2864-B
fifthly	177-3124-B
fiftieth	177-3171-B
fifting chance	177-3326-B
fifty	177-3423-B,177-4012-S
fifty fifty	177-4012-B
fiftyfold	177-4234-B
fig	177-4310-B,307-18577-S
fig eater	177-4917-B
fig leaf	177-7302-B
fig tree	177-7622-B
fig wort	177-13109-B
fight	177-4987-B,61-17064-S,85-809-S,202-17638-S,344-742-S,362-5581-S,407-2380-S,446-4819-S,458-8229-S,463-2734-S
fighter	177-6379-B,62-16455-S,98-1244-S,178-27400-S,190-2246-S,255-10320-S,303-12699-S,362-5679-S
fighter bomber	177-6580-B
fighter pilot	177-6674-B
fighter plane	177-6772-B
fighting	177-6826-B,62-16554-S,85-941-S,362-5829-S
fighting cock	177-7110-B
fighting plane	177-7027-B
figleaf	177-7259-B
figment	177-7480-B
figulate	177-7773-B
figuline	177-7834-B
figurable	177-8071-B
figural	177-8169-B
figurant	177-8252-B
figurante	177-8394-B
figuranti	177-8589-B
figurate	177-8635-B
figuration	177-8703-B
figurative	177-8885-B
figuratively	177-9199-B
figurativeness	177-9295-B
figure	177-9433-B,172-27055-S,265-30608-S
figure dance	177-11693-B
figure head	177-12274-B
figure of eight	177-12595-B
figure of speech	177-12460-B
figure skater	177-12668-B
figure skating	177-12758-B
figure weaving	177-12892-B
figured	177-11465-B
figurehead	177-12024-B
figures	137-24966-S
figurette	177-12846-B
figurine	177-12974-B
figuring	177-13036-B
filagree	177-13155-B
filament	177-13199-B,67-14394-S
filament capacitance	177-13334-B,208-11494-S
filament resistor	177-13388-B
filament transformer	177-13445-B
filamentary	177-13502-B
filamentation	177-13650-B
filamented	177-13727-B
filamentose	177-13803-B
filamentous	177-13874-B
filaria	177-13976-B
filarial	177-14028-B
filariasis	177-14155-B
filariform	177-14225-B
filature	177-14296-B
filbert	177-14412-B
filch	177-14492-B
filcher	177-14558-B
filching	177-14601-B
file	177-14674-B,4-26231-S,6-19359-S,28-9686-S,39-11111-S,43-4064-S,43-7378-S,74-10270-S,88-5639-S,92-6460-S,92-11165-S,114-16090-S,124-18354-S,130-5763-S,140-27814-S,149-13197-S,153-15606-S,153-19092-S,154-10412-S,165-16087-S,181-10878-S,204-23854-S,206-16720-S,239-17205-S,273-13607-S,299-18026-S,402-3019-S,421-16762-S,421-18196-S,446-26556-S
file allocation table	177-16128-B
file attribute	177-16193-B
file cabinet	177-17161-B
file cutter	177-16237-B
file cutting	177-16300-B
file description block	177-16366-B
file directory	177-16424-B
file dust	177-17244-B
file fish	177-16469-B
file format	177-16540-B
file identification block	177-16585-B
file leader	177-16650-B
file manager	177-16713-B
file name	177-16772-B
file name extension	177-16806-B
file rail	177-17448-B
file server	177-16861-B
file size	177-16909-B
file specifier	2-24432-S
file storage	177-16949-B
file structure	177-16992-B
file system	177-17038-B
file transfer protocol	177-17093-B
filemot	177-17299-B
filer	177-17414-B
filespec	177-17548-B
filet	177-17579-B
filial	177-17655-B
filiality	177-17855-B
filialness	177-17916-B
filiate	177-17979-B
filiation	177-18360-B
filibeg	177-18570-B
filibuster	177-18607-B
filicidal	177-18996-B
filicide	177-19066-B
filicoid	177-19146-B
filicology	177-19206-B
filiety	177-19273-B
filiform	177-19329-B
filigree	177-19383-B
