first string	179-10926-B
first up	179-14400-B
first water	179-11144-B
firsthand	179-13003-B
firstling	179-13641-B
firstly	179-13774-B
firth	179-14486-B
fisc	179-14617-B
fiscal	179-14739-B,362-25667-S
fiscality	179-14966-B
fish	179-15041-B,20-3488-S,20-3561-S,84-9432-S,86-13696-S,86-15064-S,100-11427-S,104-25411-S,105-14583-S,112-2049-S,125-16723-S,141-8101-S,150-13172-S,173-19052-S,177-16469-S,178-13590-S,178-27541-S,181-10944-S,184-9778-S,184-10904-S,185-11981-S,191-13320-S,199-19720-S,202-7914-S,203-28499-S,208-7859-S,209-15486-S,254-20033-S,255-1988-S,258-29747-S,264-3992-S,272-21304-S,277-375-S,302-11217-S,307-3823-S,326-12826-S,327-17765-S,330-890-S,344-2592-S,344-21490-S,374-3591-S,378-13708-S,378-24731-S,381-27497-S,393-2173-S,398-15896-S,398-20323-S,399-8629-S,402-7894-S,404-21877-S,407-2436-S,408-24312-S,408-28522-S,409-808-S,413-9912-S,416-4969-S,417-17949-S,420-23243-S,424-12757-S,429-20314-S,431-26727-S,432-15671-S,439-4545-S,439-7250-S,444-410-S,455-24459-S,457-19120-S,458-8295-S,469-28621-S,469-29969-S,480-17790-S,494-6838-S,518-13055-S,519-21129-S
fish and chips	179-17448-B
fish bowl	179-17556-B
fish breeding	179-18174-B
fish cake	179-17620-B,179-18232-B
fish carver	179-18332-B
fish culture	179-18411-B
fish eye lens	179-19011-B
fish fag	179-19083-B
fish farm	179-19137-B
fish farming	179-19193-B
fish finger	179-17710-B
fish garth	179-19276-B
fish gig	179-19338-B
fish globe	179-19428-B
fish glue	179-19495-B
fish guano	179-19558-B
fish hawk	179-19611-B
fish hold	179-19662-B
fish hook	179-19714-B
fish house	179-19768-B
fish kettle	179-20591-B
fish knife	179-20688-B
fish like	179-20761-B
fish line	179-20814-B
fish manure	179-20869-B
fish market	179-20928-B
fish meal	179-20985-B
fish net	179-21123-B
fish oil	179-21182-B
fish plate	179-21233-B
fish pole	179-21318-B
fish pond	179-21429-B
fish pot	179-21501-B
fish preserve	179-17779-B
fish rearing	179-21563-B
fish slice	179-21620-B
fish sound	179-21733-B
fish spear	179-21792-B
fish story	179-21850-B
fish tail	179-21975-B
fish torpedo	179-22071-B
fish trap	179-22156-B
fish warden	179-22217-B
fish way	179-22293-B
fish works	179-22454-B
fish worm	179-22599-B
fishable	179-17861-B
fishbolt	179-17932-B
fishbone	179-18064-B
fishbowl	179-18117-B
fisher	179-18480-B,333-4293-S,518-15489-S
fisherman	179-18687-B
fishery	179-18831-B,323-12671-S,333-4344-S,407-6577-S
fishily	179-19843-B
fishiness	179-19907-B
fishing	179-20042-B,84-9523-S,184-9846-S,209-15549-S,230-11889-S,333-4443-S,472-7913-S
fishing boat	179-20273-B
fishing line	179-20341-B
fishing net	179-20399-B
fishing pole	179-20163-B
fishing rod	179-20448-B
fishing spear	179-20216-B
fishing tackle	179-20506-B
fishmonger	179-21037-B
fishpond	179-21366-B
fishwife	179-22370-B
fishworm	179-22553-B
fishy	179-22663-B
fision	179-23005-B
fisk	179-23183-B
fissidactyl	179-23227-B
fissile	179-23292-B
fissilingual	179-23357-B
fissility	179-23424-B
fission	179-23507-B
fissionable	179-23617-B
fissiparism	179-23696-B
fissiparity	180-0-B
fissiparous	180-81-B
fissiped	180-176-B
fissipedia	180-300-B
