foresightedness	186-23551-B
foreskin	186-23662-B
forespeech	186-23704-B
forest	186-23783-B,118-19523-S,195-3309-S,377-3790-S
forest ranger	186-23944-B
forestage	186-24025-B
forestal	186-24098-B
forestall	186-24181-B
forestalling	186-24430-B
forestation	186-24614-B
forestay	186-24693-B
forestay sail	186-24758-B
forester	186-24859-B
forestland	186-25013-B
forestry	187-0-B
foresummer	187-69-B
foretaste	187-125-B
foreteeth	187-337-B
foretell	187-382-B
foretelling	187-424-B
forethought	187-535-B
forethoughtfulness	187-747-B
foretime	187-847-B
foretoken	187-911-B
foretold	187-1070-B
foretooth	187-1246-B
foretop	187-1318-B
foretop gallant	187-1390-B
foretype	187-1587-B
forever	187-1652-B
forevermore	187-1716-B
forewarn	187-1781-B
forewent	187-2053-B
forewind	187-2205-B
forewing	187-2258-B
forewoman	187-2338-B
foreword	187-2487-B
forfeit	187-2559-B
forfeitable	187-3124-B
forfeiture	187-3210-B
forfend	187-3467-B
forficate	187-3552-B
forgather	187-3643-B
forgave	187-3692-B
forge	187-3732-B,140-37327-S
forgeability	187-4198-B
forgeable	187-4313-B
forged	187-4415-B
forger	187-4537-B
forgery	187-4701-B
forget	187-4856-B
forget me not	187-5196-B
forgetful	187-4896-B
forgetfully	187-5066-B
forgetfulness	187-5131-B,410-3653-S
forgettable	187-5317-B
forging	187-5387-B
forgivable	187-5473-B
forgive	187-5546-B
forgiven	187-5720-B
forgiveness	187-5761-B
forgiving	187-6024-B
forgivingly	187-6149-B
forgivingness	187-6223-B
forgo	187-6289-B
forgone	187-6327-B
forgot	187-6456-B
forgotten	187-6496-B,302-18322-S
forint	187-6958-B
forjudge	187-7031-B
fork	187-7137-B,142-15620-S,216-17538-S,323-11991-S,460-6259-S,470-20176-S,480-21713-S
fork tail	187-8423-B
fork tone modulation	187-7712-B
forked	187-7773-B
forking	187-8186-B
forklift truck	187-8242-B
forky	187-8486-B
forlorn	187-8576-B
forlorn hope	187-8859-B
forlornly	187-9048-B
forlornness	187-9126-B
form	187-9204-B,26-22145-S,30-3069-S,30-5520-S,66-10432-S,88-5685-S,149-13301-S,188-23379-S,189-23339-S,193-13521-S,263-16685-S,270-25954-S,316-5843-S,383-2704-S,422-12658-S,434-2826-S
form class	187-11370-B
form college	422-12746-S
form critic	187-11439-B
form critical	187-11515-B
form criticism	187-11604-B
form factor	187-11686-B
form feed	187-11731-B
form feed character	187-16388-B
form letter	187-11776-B
form letter program	187-17485-B
form master	187-17559-B
form of address	187-11919-B
form teacher	187-12007-B
forma	362-6917-S
forma invoice	362-7085-S
formable	187-12091-B
formal	187-12161-B
formal argument	187-12795-B
formal language	187-12845-B
formal logic	187-12893-B
formal parameter	187-12939-B
formaldehyde	187-12990-B
formalin	187-13058-B
formalisation	187-13114-B
formalise	187-13192-B
formalism	187-13292-B
formalist	187-13382-B
formalistic	187-13466-B
formality	187-13555-B
formalization	187-13860-B
formalize	187-14035-B
formally	187-14182-B
formant	187-14227-B
formant frequency	187-14291-B
formant synthesis	187-14353-B
format	187-14408-B,15-4470-S,92-6638-S,114-16223-S,132-20929-S,177-16540-S,180-11350-S
format character	187-14478-B
format command	187-14559-B
format control character	187-14826-B
format conversion code	187-14612-B
format instruction	187-14669-B
format specification	187-14729-B
formate	187-14899-B
formation	187-14991-B,37-4726-S,38-21883-S,39-4035-S,182-9439-S,383-3889-S,434-12280-S,437-3993-S,517-33000-S
formative	187-15361-B
formatted data	187-15480-B
formatted disk	187-15530-B
formatted display	187-15587-B
formatted input output statement	187-15652-B
formatted record	187-15741-B
formatter	132-20970-S
formatting	187-15804-B,114-16270-S
forme	187-15877-B
formed	517-33119-S
former	187-15929-B,422-12865-S
formerly	187-16318-B
formic	187-16457-B
formic acid	187-16537-B
formica	187-16597-B
formicarian	187-16648-B
formicary	187-16712-B
formication	187-16759-B
formidable	187-16831-B
formidableness	187-16968-B
formidably	187-17096-B
forming	187-17168-B,212-6695-S
formless	187-17244-B
formlessly	187-17317-B
formlessness	187-17399-B
forms design	187-17663-B
formula	187-17710-B,92-7603-S
formulae	187-17754-B
formulaic	187-17965-B
formularise	187-18040-B
formularization	187-18095-B
formularize	187-18178-B
formulary	187-18248-B
formulate	187-18442-B
formulation	187-18490-B,187-18540-B
formulise	187-18745-B
formulism	187-18793-B
formulist	187-18883-B
formulistic	187-18967-B
formulization	187-19047-B
formulize	187-19108-B
formwork	187-19295-B
formyl	187-19362-B
fornicate	187-19413-B
fornication	187-19509-B
fornicator	187-19619-B
fornicatrix	187-19734-B
fornix	187-19844-B
forpined	187-19925-B
forrader	187-20018-B
forrecast	187-20080-B
forrel	187-20129-B
forrow leaved	187-20246-B
forrow lobed	187-20316-B
forrowing	187-20166-B
forsake	187-20386-B
forsaken	187-20427-B
forsaking	187-20562-B
forsook	187-20646-B
forsooth	187-20687-B
forspend	187-20789-B
forspent	187-20868-B
forswear	187-20941-B
forswore	187-20985-B
forsworn	187-21284-B
forsythia	187-21328-B
fort	187-21406-B,161-12906-S
fortalice	187-21581-B
forte	187-21702-B
forth	187-21959-B,39-941-S
forthcoming	187-22506-B
forthgoing	187-22691-B
forthright	187-22756-B
forthwith	187-23054-B
fortieth	187-23142-B
fortifiable	187-23301-B
fortification	187-23420-B
fortified wine	187-23702-B
fortifier	187-23773-B
fortify	187-23850-B
fortiori	1-3263-S
fortis	187-24014-B
fortissimo	187-24070-B
fortitude	187-24224-B,249-7023-S
fortnight	187-24336-B
fortnightly	187-24584-B
fortran	187-24780-B,187-24876-B
fortress	187-24968-B,184-10979-S
fortuitism	187-25083-B
fortuitist	187-25180-B
fortuitous	188-0-B
fortuitous distortion	188-166-B
fortuitousness	188-224-B
fortuity	188-356-B
fortuna	188-573-B
fortunate	188-662-B
fortunately	188-801-B
fortune	188-870-B,425-26949-S
fortune book	188-1879-B
fortune cookie	188-1777-B
fortune hunter	188-1938-B
fortune teller	188-2120-B
fortune telling	188-2178-B
fortuneless	188-2034-B
forty	188-2269-B
forty five	188-2656-B
forty niner	188-2742-B
forty winks	188-2840-B
forum	188-2921-B
forward	188-3113-B,68-20826-S,72-12364-S,163-16185-S,181-5024-S,203-15672-S,321-8173-S
forward bias	188-4668-B
forward biased diode	188-4725-B
forward biased junction	188-4794-B
forward blocking voltage	188-4863-B
forward chaining	188-4924-B
forward compatibility	188-4977-B
forward conductance	188-5053-B
forward current	188-5104-B
forward dive	188-5143-B
forward error correction	188-5250-B
forward looking	188-6007-B
forward market	188-5326-B
forward path	188-5436-B
forward pointer	188-5476-B
forward reference	188-5519-B
forward scattered power	188-5567-B
forward search	188-5629-B
forward signal	188-5673-B
forward transfer function	188-5719-B
forward voltage	129-15369-S
forwarding address	188-5781-B
forwarding agent	188-5875-B
forwardly	188-6219-B
forwardness	188-6380-B
forwards	188-6564-B
forwearied	188-6608-B
forwent	188-6654-B
forworn	188-6694-B
foss	188-6759-B
fossa	188-6858-B
fossae	188-6954-B
fosse	188-6990-B
fossette	188-7064-B
fossick	188-7162-B
fossil	188-7247-B,239-15546-S,272-10882-S
fossilate	188-7595-B
fossilation	188-7674-B
fossiliferous	188-7766-B
fossilise	188-7856-B
fossilism	188-8067-B
fossilist	188-8158-B
fossilization	188-8224-B
fossilize	188-8311-B
fossilology	188-8357-B
fossorial	188-8427-B
fosteer seeley discriminator	188-8559-B
foster	188-8629-B
foster brother	188-9030-B,188-9844-B
foster child	188-9093-B,188-9918-B
foster dam	188-9970-B
foster daughter	188-9146-B,188-10026-B
foster father	188-9215-B,188-10181-B
foster home	188-10245-B
foster mother	188-9276-B,188-10400-B
foster parent	188-9339-B,188-10476-B
foster seeley detector	188-9416-B
foster sister	188-9480-B,188-10553-B
foster son	188-9553-B,188-10627-B
fosterable	188-9603-B
fosterage	188-9698-B
fosterer	188-10090-B
fosterling	188-10292-B
fou	451-19045-S
foucault current	188-10687-B
fougasse	188-10741-B
fought	188-10791-B
foul	188-10813-B,363-10269-S
foul faced	188-12984-B
foul mouthed	188-13351-B
foul play	188-12638-B
foul proof	188-13618-B
foul spoken	188-13702-B
foul tongued	188-13779-B
foul up	188-13832-B
foulard	188-12803-B
foule	188-12926-B
fouling	188-13095-B,23-8594-S
foully	188-13215-B
foulness	188-13455-B
foumart	188-13904-B
found	188-13972-B,86-92-S,517-33360-S
foundation	188-14465-B
foundation course	188-14840-B,188-15204-B
foundation garment	188-14952-B
foundation pile	188-15067-B
foundation school	188-15277-B
foundation stone	188-15388-B
foundationcourse	188-15134-B
founded	188-15527-B,232-8000-S,517-33436-S
founder	188-15550-B,201-26180-S,482-21266-S
founder member	188-16086-B
foundering	188-16007-B
founderous	188-16162-B
foundership	188-16231-B
founding father	188-16312-B
foundling	188-16428-B
foundling hospital	188-16498-B
foundress	188-16596-B
foundry	188-16653-B,211-4042-S,251-13298-S,251-14759-S,482-21403-S
foundry man	188-16717-B
fount	188-16777-B
fountain	188-16938-B,140-18881-S,429-344-S
fountain head	188-17184-B
fountain pen	188-17265-B
