framing error	189-10864-B
franc	189-10899-B
franc tireur	189-10983-B
franca	270-25363-S
france	189-11096-B
franchise	189-11146-B
franciscan	189-11297-B
francium	189-11416-B
franco american	189-11472-B
francolin	189-11614-B
francophone	189-11692-B
francs tireurs	189-11803-B
frangibility	189-11864-B
frangible	189-11949-B
frangipane	189-12014-B
frangipani	189-12066-B
franglais	189-12189-B
frank	189-12273-B
frank hearted	189-12804-B
frank heartedness	189-12895-B
frankfurt	189-12683-B
frankfurter	189-12752-B
frankincense	189-12994-B
franking machine	189-13121-B
frankish	189-13280-B
franklin	189-13377-B
franklin antenna	189-13511-B
franklinite	189-13609-B
frankly	189-13678-B
frankness	189-14052-B
frankpledge	189-14155-B
frantic	189-14378-B
frantically	189-14515-B
frap	189-14566-B
frappe	189-14629-B
frass	189-14692-B
frate	189-14756-B
frater	189-14793-B
fraternal	189-14888-B
fraternalism	189-15111-B
fraternally	189-15226-B
fraternisation	189-15304-B
fraternise	189-15384-B
fraternity	189-15434-B
fraternization	189-15552-B
fraternize	189-15676-B
frati	189-15776-B
fratricidal	189-15845-B
fratricide	189-15929-B
fraud	189-16091-B
fraudulence	189-16522-B
fraudulent	189-16702-B
fraudulently	189-16948-B
fraught	189-17018-B
fraulein	189-17160-B
fraunhofer diffraction	189-17419-B
fraunhofer hologram	189-17349-B
fraunhofer holography	189-17475-B
fraxinella	189-17538-B
fray	189-17619-B
fraying	189-17841-B
fraze	189-17892-B
frazil	189-17972-B
frazzle	189-18062-B
freak	189-18452-B
freak out	189-18713-B,189-19440-B
freaked	189-19015-B
freakish	189-19092-B
freakishly	189-19192-B
freakishness	189-19263-B
freakout	189-19394-B
freaky	189-19747-B
freckle	189-19801-B
freckled	189-19989-B
freckly	189-20042-B
free	189-20110-B,68-20922-S,94-13178-S,143-4939-S,160-13586-S,171-27769-S,217-13241-S,230-12061-S,293-24568-S,323-10150-S,354-21688-S,366-5772-S,377-34094-S,385-29537-S,394-3607-S,397-4697-S,399-8768-S,405-635-S,452-14080-S,462-22049-S,470-11827-S,471-10642-S,479-6602-S,482-11325-S
free access	94-13220-S
free agent	189-22615-B
free and easy	190-353-B
free association	189-22715-B
free board	190-677-B
free born	190-1010-B
free charge	189-22823-B
free church	189-22866-B
free collective bargaining	189-22970-B
free cutting	190-1292-B
free electron	189-23151-B
free enterprise	189-23195-B
free fall	189-23273-B
free floating	190-2652-B
free flow	190-2802-B
free for all	190-2978-B
free form	189-23339-B
free grammar	97-22145-S
free hand	190-3194-B
free handed	190-3366-B
free hearted	190-3438-B
free house	189-23394-B
free kick	189-23537-B,239-25135-S
free labour	189-23615-B
free lance	189-23824-B
free language	97-22204-S
free list	190-4162-B
free liver	189-24109-B
free living	189-24213-B
free load	190-4322-B
free loader	190-4431-B
free love	189-24319-B
free lovism	189-24379-B
free market	189-24460-B
free minded	190-5290-B
free on board	189-24525-B
free pass	189-24620-B
free port	189-24701-B
free quarters	189-24785-B
free range	189-24894-B
free rein	189-25066-B
free running counter	189-25223-B
free running frequency	189-25280-B
free running mode	189-25343-B
free soil	189-25397-B
free space field intensity	189-25479-B
free spoken	190-5602-B
free spokeness	190-5677-B
free standing	190-5780-B
free style	190-5958-B
free thinker	190-6172-B
free thinking	190-6256-B
free thought	189-25560-B
free trade	189-25703-B
free trader	189-25820-B,190-6529-B
free verse	189-25909-B
free versifier	189-25971-B
free vote	190-0-B
free wheel	190-6862-B
free will	190-67-B
free zone	190-250-B
freebie	190-614-B
freeboot	190-794-B
freebooter	190-848-B
freebooting	190-918-B
freecode	190-1174-B
freedman	190-1415-B
freedom	190-1497-B,3-16453-S
freedom fighter	190-2246-B
freedom of the seas	190-2338-B
freedom ride	190-2500-B
freefone	190-2872-B
freehold	190-3561-B
freeholder	190-3648-B
freeing	190-3745-B
freelance	190-3823-B
freelancer	190-4053-B
freeload	190-4387-B
freeloader	190-4514-B
freely	190-4564-B
freeman	190-4681-B
freemartin	190-4852-B
freemason	190-5014-B
freemasonry	190-5087-B
freenet	190-5369-B
freepost	190-5398-B
freerunning	190-5475-B
freesia	190-5542-B
freestone	190-5853-B
freestyle	190-6047-B
freestyle swimming	190-6094-B
freeware	190-6621-B
freeway	190-6680-B
freewheel	190-6723-B
freeza	190-7003-B
freezable	190-7034-B
freeze	190-7099-B,118-17683-S,374-16900-S,513-19231-S
freeze dry	190-8140-B
freeze up	190-8326-B
freezer	190-8252-B,191-2912-S
freezing	190-8386-B,275-20177-S,305-4660-S
freezing mixture	190-8645-B
freezing point	190-8735-B
freezing works	190-8518-B
freight	190-8808-B
freight agent	190-9651-B
freight car	190-9093-B
freight house	190-9183-B
freight ton	190-9265-B
freight train	190-9386-B
freight yard	190-9440-B
freightage	190-9503-B
freighter	190-9732-B,12-6704-S
freightliner	190-9980-B
french	190-10073-B,20-8820-S,311-21436-S
french bean	190-10240-B
french bread	190-10315-B
french canadian	190-11315-B
french chalk	190-10428-B
french dressing	190-10517-B
french grass	190-10609-B
french kiss	190-10696-B
french letter	190-10778-B
french polish	190-10852-B,190-11936-B
french polisher	190-10961-B
french seam	190-11041-B
french window	190-11171-B
french woman	190-11258-B
frenchification	190-11440-B
frenchify	190-11514-B
frenchism	190-11570-B
frenchless	190-11656-B
frenchman	190-11729-B
frenchness	190-11872-B
frenchwoman	190-12006-B
frenchy	190-12080-B
frenetic	190-12154-B
frenetically	190-12252-B
frenezied	190-12333-B
frenulum	190-12448-B
frenum	190-12551-B
frenzied	190-12631-B
frenziedly	190-12685-B
frenzy	190-12735-B
freon	190-12951-B
frequence	190-13058-B
frequency	190-13427-B,15-4239-S,20-12358-S,31-21478-S,34-7716-S,35-7645-S,37-9610-S,42-17968-S,65-761-S,72-6776-S,82-24929-S,88-3808-S,112-8817-S,125-13294-S,127-21948-S,131-23808-S,146-14422-S,169-7050-S,187-14291-S,189-25280-S,193-8364-S,209-19149-S,211-5047-S,221-5075-S,275-26242-S,286-4405-S,313-11025-S,376-4937-S,421-18427-S,483-10626-S,509-4903-S
frequency agility	190-13476-B
frequency band	190-13533-B
frequency bridge	190-13574-B
frequency channel	190-13617-B
frequency control	190-13661-B,36-1144-S,149-1204-S,149-11031-S
frequency control circuit	36-1221-S
frequency conversion	190-13735-B
frequency converter	149-9843-S
frequency demodulation	190-13792-B
frequency demultiplier	190-13854-B
frequency detection	190-13928-B
frequency deviation	190-13986-B
frequency discriminator	190-14055-B
frequency distortion	18-1029-S,33-25461-S,120-4471-S
frequency distortion transmission impairment	190-14161-B
frequency divider	190-14286-B
frequency division multiplex	190-16566-B
frequency division multiplexing	190-14335-B
frequency domain synthesis	190-14414-B
frequency doubler	190-14485-B
frequency drift	190-14540-B
frequency equalizer	120-3827-S
frequency filtering	190-14596-B
frequency function	190-14642-B
frequency hopped spread spectrum signals	190-14686-B
frequency indicator	190-14795-B
frequency interference	190-14851-B
frequency inverse	190-14904-B
frequency meter	190-14962-B,149-12454-S,149-13346-S
frequency modulated	190-15024-B
frequency modulated cyclotron	190-16631-B
