frontpage	191-22732-B
fronts	524-16746-S
frontward	191-23275-B
frontwards	191-23347-B
frontways	191-23395-B
frore	191-23460-B
frosh	191-23514-B
frost	191-23636-B,253-21447-S,519-18891-S
frost bite	191-24160-B
frost bitten	191-24354-B
frost cleft	191-24590-B
frost proof	191-25180-B
frost sensitive	191-25246-B
frost work	191-25324-B
frostbound	191-24493-B
frosted	191-24664-B
frostily	191-24741-B
frostiness	191-24821-B
frosting	191-24940-B
frostless	191-25114-B
frosty	191-25479-B
froth	192-0-B
froth blower	192-300-B
froth over	192-749-B
frother	192-376-B
frothiness	192-466-B
frothing	192-630-B
frothy	192-843-B
frou	192-978-S
frou frou	192-978-B
frounce	192-1133-B
frow	192-1217-B
froward	192-1295-B
frowardness	192-1367-B
frown	192-1458-B
frowningly	192-2147-B
frowst	192-2217-B
frowsty	192-2430-B
frowsy	192-2523-B
frowziness	192-2601-B
frowzy	192-2703-B
froze	192-2740-B,118-13053-S
frozen	192-2774-B,118-17749-S
frozen state	192-2797-B
frs	192-2860-B
fructidor	192-2968-B
fructiferous	192-3091-B
fructification	192-3163-B
fructify	192-3304-B
fructivorous	192-3422-B
fructose	192-3499-B
fructuous	192-3546-B
frugal	192-3620-B
frugality	192-3802-B
frugally	192-3911-B
frugivorous	192-3980-B
fruit	192-4037-B,57-20570-S,186-2159-S,206-14059-S,331-533-S,429-6149-S,445-5388-S,483-4394-S
fruit bearing	192-4791-B
fruit body	192-4863-B
fruit cake	192-4920-B
fruit clipper	192-4257-B
fruit fly	192-5204-B
fruit grower	192-5743-B
fruit growing	192-5851-B
fruit knife	192-6169-B
fruit machine	192-4334-B,192-6729-B
fruit piece	192-6843-B
fruit salad	192-4556-B,192-6908-B
fruit sugar	192-7023-B
fruit tree	192-7087-B
fruitage	192-4649-B
fruitarian	192-4714-B
fruited	83-9853-S,207-22803-S,209-5221-S,402-16131-S,421-18492-S,426-22653-S,429-9772-S,443-5905-S,457-14535-S,482-5143-S,516-14527-S
fruiter	192-4980-B
fruiterer	192-5099-B
fruitful	192-5260-B
fruitfully	192-5531-B
fruitfulness	192-5604-B
fruitgrowing	192-5796-B
fruitiness	192-5931-B
fruition	192-6017-B
fruitless	192-6272-B
fruitlessly	192-6451-B
fruitlessness	192-6520-B
fruitlet	192-6636-B
fruits	179-9745-S,179-12673-S
fruity	192-7145-B
frumenty	192-7400-B
frump	192-7444-B
frumpish	192-7533-B
frumpy	192-7576-B
frusta	192-7649-B
frustrate	192-7690-B
frustrated	192-8038-B
frustrating	192-8090-B
frustration	192-8178-B
frustule	192-8402-B
frustum	192-8475-B
frutescent	192-8635-B
frutex	192-8720-B
frutices	192-8761-B
fruticose	192-8844-B
fruticulose	192-8955-B
fruticulum	192-9032-B
frutti	481-26367-S
fry	192-9111-B,118-16309-S,118-17839-S,425-27040-S,444-10325-S
fry pan	192-9553-B
fry up	192-9618-B
fryer	192-9288-B
frying pan	192-9423-B
frãulein	189-17244-B
ft	192-9679-B
ftp	192-9806-B
fu	261-15426-S
fubsy	192-9870-B
fuchsia	192-9905-B
fuchsine	192-9978-B
fuci	192-10031-B
fucivorous	192-10067-B
fuck	192-10147-B
fuck all	192-10271-B
fuck up	192-10446-B
fucker	192-10337-B
fucking	192-10403-B
fucoid	192-10503-B
fucose	192-10578-B
fucoxanthin	192-10640-B
fucus	192-10711-B
fuddle	192-10808-B
fuddy duddy	192-11107-B
fudge	192-11316-B
fuehrer	192-11787-B
fuel	192-11853-B
fuel engine	141-18817-S
fuel tight	192-12271-B
fuelling station	192-12181-B
fug	192-12342-B
fugacious	192-12528-B
fugacity	192-12634-B
fugal	192-12767-B
fugally	192-12829-B
fuge	103-16577-S
fuggy	192-12922-B
fugitive	192-13028-B
fugle	192-13468-B
fugleman	192-13533-B
fugue	192-13744-B
fugued	192-13890-B
fuguing	192-13927-B
fuguist	192-14005-B
fulcra	192-14078-B
fulcrum	192-14119-B
fulfil	192-14429-B
fulfill	192-14745-B
fulfilled	192-14783-B
fulfilment	192-14850-B,305-4724-S,410-3744-S
fulgent	192-15010-B
fulgentness	192-15112-B
fulgurant	192-15211-B
fulgurate	192-15278-B
fulguration	192-15353-B
fulgurite	192-15419-B
fulham	192-15587-B
fuliginous	192-15684-B
full	192-15786-B,77-8944-S,77-13380-S,105-13238-S
full adder	192-18443-B,192-20106-B
full age	192-18513-B
full automatic	192-20177-B
full back	192-20256-B
full blast	192-20334-B
full blooded	192-20439-B
full blown	192-20581-B
full board	192-18594-B
full bodied	192-20773-B
full bottomed	192-20860-B
full cream	192-20957-B
full dress	192-21031-B
full duplex	192-18690-B
full face	192-18759-B
full faced	192-21518-B
full fashioned	192-21684-B
full fed	192-21765-B
full fledged	192-21826-B
full gallop	192-22023-B
full general	192-18842-B
full grow	192-22098-B
full grown	192-18927-B,192-22213-B
full growth	192-19013-B
full hand	192-19089-B
full house	192-19229-B
full length	192-22277-B
full load	192-19436-B
full marks	192-19482-B
full moon	192-22607-B
full mouthed	192-22684-B
full operation	192-19580-B
full page	192-19629-B,192-23304-B
full parabolic reflector	192-19673-B
full pay	192-19738-B
full read pulse	192-23422-B
full rigged	192-23498-B
full roed	192-23625-B
full satellite exchange	192-23705-B
full scale	192-23773-B
full scale deflection	192-23855-B
full size	192-23920-B
full sized	192-23950-B
full sphere	192-24013-B
full stop	192-19790-B,192-24049-B
full term	192-24104-B
full text searching	192-24171-B
full time	192-19853-B,192-24229-B
full timer	192-24629-B
full wave dipole	192-24710-B
full wave doubler	192-24764-B
full wave rectifier	192-20047-B
fuller	192-21346-B
fullering	192-21410-B
fullgrown	192-22164-B
fullmar	192-22532-B
fullness	192-22821-B
fully	192-24818-B
fully fashioned	193-0-B
fully fledged	193-107-B
fully transistorized	193-159-B
fulmar	193-218-B
fulminant	193-286-B
fulminate	193-385-B
fulminating	193-583-B
fulmination	193-722-B
fulminatory	193-911-B
fulmine	193-995-B
fulminic	193-1132-B
fulness	193-1189-B
fulsome	193-1229-B
fulsomely	193-1408-B
fulsomeness	193-1475-B
fulvescent	193-1659-B
fulvous	193-1726-B
fum	174-5192-S
fumade	193-1787-B
fumaric acid	193-1829-B
fumarole	193-1900-B
fumble	193-1984-B
fumbler	193-2452-B
fume	193-2535-B
fume off	193-3185-B
fume proof	193-3261-B
fume resistant	193-3331-B
fumed	193-3132-B
fumigant	193-3422-B
fumigate	193-3492-B
fumigation	193-3625-B
fumigator	193-3758-B
fuming	193-3863-B
fumingly	193-3932-B
fumitory	193-3986-B
fumy	193-4059-B
fun	193-4131-B
fun fair	193-10769-B
funambulism	193-4692-B
funambulist	193-4764-B
function	193-4820-B,2-2935-S,3-73-S,6-24259-S,7-6044-S,8-10985-S,8-26146-S,16-10444-S,35-11396-S,42-23165-S,60-23175-S,91-7181-S,91-8240-S,98-19082-S,160-6091-S,160-13640-S,167-15476-S,175-3337-S,188-5719-S,190-14642-S,197-15962-S,229-3108-S,270-21091-S,273-8795-S,368-1825-S,399-11539-S,420-4119-S,467-4075-S
function abstraction	193-4868-B
function box	193-4919-B
function button	193-4957-B
function character	193-4997-B
function code	193-5044-B
function generation	193-5081-B
function generator	193-5121-B,18-17020-S,149-13418-S
function key	193-5170-B
function letter	193-5228-B
function management protocol	193-5269-B
function table	193-5345-B
function word	193-5381-B
functional	193-5456-B
functional analysis	193-5648-B
functional block	193-5742-B
functional description	193-5785-B
functional design	193-5836-B
functional diagram	193-5894-B
functional disease	193-5945-B
functional element	193-6031-B
functional group	193-6081-B
functional illiteracy	193-6160-B
functional illiterate	193-6276-B
functional logic	193-6403-B
functional programming	193-6450-B
functional simulator	193-6513-B
functional specification	193-6570-B
functionalism	193-6659-B
functionalist	193-6734-B
functionally	193-6856-B
functionary	193-6950-B
functionate	193-7189-B
functionless	193-7627-B
functor	193-7700-B
