fyord	194-8169-B
fyrd	194-8217-B
fytte	194-8312-B
g	194-8383-B,143-16898-S
g band	197-19782-B
g i	194-8478-B,194-8624-B
g man	194-8934-B,203-2479-B
g string	210-5073-B
g3	194-9080-B
g4	194-9157-B
gaas diode	194-9234-B
gaas laser	194-9303-B
gab	194-9373-B
gabardine	194-9703-B
gabber	194-9787-B
gabble	194-9868-B
gabbler	194-10120-B
gabbro	194-10183-B
gabbroic	194-10236-B
gabby	194-10315-B
gabelle	194-10385-B
gabelled	194-10463-B
gaberdine	194-10524-B
gabfest	194-10640-B
gabion	194-10836-B
gabionade	194-10881-B
gable	194-10961-B
gabled	194-11068-B
gablet	194-11192-B
gablock	194-11248-B
gaby	194-11303-B
gad	194-11372-B
gad fly	194-12193-B
gadabout	194-11817-B
gadarene	194-11935-B
gadbee	194-11992-B
gadder	194-12030-B
gadding	194-12115-B
gadget	194-12310-B
gadgetry	194-12458-B
gadgety	194-12535-B
gadoid	194-12609-B
gadolinit	194-12804-B
gadolonium	194-12870-B
gadroon	194-12972-B
gadwall	194-13109-B
gadzooks	194-13194-B
gael	194-13279-B
gaelic	194-13343-B
gaeltacht	194-13429-B
gaff	194-13515-B
gaffe	194-14157-B
gaffer	194-14245-B
gaffle	194-14341-B
gaffsman	194-14484-B
gag	194-14577-B
gag man	194-16311-B
gaga	194-15409-B
gage	194-15540-B,311-13771-S,517-3077-S,520-25007-S
gager	194-15879-B
gagger	194-15931-B
gagging	194-16113-B
gaggle	194-16170-B
gahnite	194-16539-B
gaiety	194-16593-B
gaily	194-16783-B
gain	194-16864-B,9-10929-S,22-3476-S,22-3533-S,67-1369-S,90-20317-S,99-4310-S,99-4708-S
gain antenna gain	9-10929-S
gain bandwidth product	194-18451-B
gain control	194-18159-B,36-1313-S,128-1035-S
gain control circuit	36-1387-S
gain hit	194-18241-B
gain region	194-18295-B
gainable	194-18333-B
gainer	194-18520-B
gainful	194-18599-B
gainfully	194-18684-B
gainings	194-18729-B
gainly	194-18808-B
gains tax	67-1431-S
gainsaid	194-18875-B
gainsay	194-19106-B
gainst	194-19147-B,194-19184-B
gairish	194-19249-B
gait	194-19305-B
gaited	194-19391-B
gaiter	194-19488-B
gal	194-19617-B
gala	194-19664-B
gala day	194-20492-B
galactagogue	194-19768-B
galactic	194-19839-B
galactic noise	194-19910-B
galactic radio noise	194-19977-B
galactophorous	194-20038-B
galactopoiesis	194-20090-B
galactopoietic	194-20165-B
galactosaemia	194-20270-B
galactose	194-20347-B
galactosis	194-20408-B
galanga	194-20545-B
galantine	194-20642-B
galanty show	194-20703-B
galatic	194-20815-B
galavant	194-20889-B
galaxy	194-20952-B,435-18001-S
galban	194-21118-B
galctic	194-21177-B
gale	194-21232-B,278-3723-S,447-32662-S,457-12607-S,457-14602-S
galea	194-21609-B
galeate	194-21820-B
galeeny	194-21882-B
galeiform	194-21945-B
galen	194-22003-B
galena	194-22056-B
galena detector	194-22111-B
galenic	194-22179-B
galenical	194-22314-B
galenism	194-22460-B
galere	194-22538-B
galette	194-22596-B
galiass	194-22670-B
galic acid	194-22726-B
galilean	194-22782-B
galilee	194-22822-B
galimatias	194-22928-B
galingale	194-23061-B
galiot	194-23156-B
galipot	195-0-B
gall	195-68-B,307-18617-S,323-6714-S
gall bladder	195-2356-B
gall duct	195-2416-B
gall fly	195-4321-B
gall nut	195-6166-B
gall stone	195-8415-B
gallalith	195-986-B
gallamine	195-1069-B
gallant	195-1127-B,187-1390-S
gallantly	195-1770-B
gallantry	195-1894-B
gallanty show	195-2194-B
galleass	195-2472-B
galleon	195-2533-B
gallery	195-2643-B,343-12757-S,359-27637-S,393-10175-S,393-10315-S,417-28340-S
gallery forest	195-3309-B
gallet	195-3391-B
galley	195-3452-B,424-27277-S
galley cabinet	195-3748-B
galley man	195-3827-B
galley news	195-3913-B
galley proof	195-4021-B
galley slave	195-4110-B
galley west	195-4233-B
galliard	195-4380-B
gallic	195-4512-B
gallican	195-4561-B
gallicanism	195-4670-B
gallicism	195-4795-B
gallicization	195-4869-B
galligaskins	195-4987-B
gallimaufry	195-5084-B
gallinacean	195-5167-B
gallinaceous	195-5259-B
galling	195-5344-B
gallinule	195-5425-B
galliot	195-5496-B
gallipot	195-5583-B
gallium	195-5684-B
gallium arsenide	195-5735-B
gallium arsenide diode	195-5850-B
gallium arsenide semiconductor	195-5920-B
gallivant	195-6000-B
gallivat	195-6090-B
gallomania	195-6227-B
gallomaniac	195-6310-B
gallon	195-6381-B,234-18602-S
gallon degree	195-6591-B
gallonage	195-6514-B
galloned	195-6654-B
galloon	195-6727-B
gallop	195-6818-B,192-22023-S,214-16467-S
gallopade	195-7334-B
galloper	195-7430-B
galloping	195-7542-B
gallow glass	195-7684-B
galloway	195-7606-B
gallows	195-7790-B
gallows bird	195-8201-B
gallows humour	195-8052-B
gallows ripe	195-8288-B
gallows tree	195-8355-B
gallup poll	195-8464-B
galluses	195-8573-B
gally	195-8650-B
galoot	195-8732-B
galop	195-8878-B
galophil	195-8978-B
galophobe	195-9063-B
galophobia	195-9127-B
galore	195-9192-B
galosh	195-9397-B
galoshed	195-9517-B
galoshes	195-9597-B
galumph	195-9734-B
galvanic	195-9845-B
galvanic battery	195-10146-B
galvanic cell	195-10220-B
galvanic current	195-10271-B
galvanisation	195-10341-B
galvanise	195-10490-B
galvanism	195-10694-B
galvanist	195-10821-B
galvanization	195-10901-B
galvanize	195-11050-B
galvanocautery	195-11098-B
galvanography	195-11180-B
galvanoluminescence	195-11264-B
galvanomagnetism	195-11318-B
galvanometer	195-11357-B,2-24507-S,114-8077-S,128-1106-S,147-11931-S
galvanometer constant	195-11432-B
galvanometer shunt	195-11488-B
galvanometry	195-11545-B
galvanoplastic	195-11614-B
galvanoplasty	195-11698-B
galvanoscope	195-11772-B
galvanotropism	195-11841-B
gam	195-11921-B
gama	195-12135-B
gambade	195-12157-B
gambado	195-12198-B
gambadoes	195-12329-B
gambit	195-12374-B
gamble	195-12527-B
gambler	195-12915-B
gambling	195-13043-B
gambling den	195-13167-B
gambling hell	195-13100-B
gambling house	195-13228-B
gamboge	195-13287-B
gambol	195-13383-B
gambrel	195-13480-B
gambusia	195-13547-B
game	195-13606-B,28-1027-S,37-19881-S,40-19637-S,48-338-S,48-1961-S,62-18156-S,68-123-S,94-6375-S,104-9794-S,149-13683-S,209-13105-S,301-16362-S,329-15823-S,329-16512-S,389-17840-S,416-15753-S,423-5300-S,510-4943-S,514-28921-S
game act	195-16405-B
game bag	195-16463-B
game bird	195-15870-B
game book	195-16513-B
game cock	195-16600-B
game egg	195-16652-B
game fowl	195-16710-B
game house	195-16848-B
game law	195-15940-B
game laws	195-17006-B
game of chance	195-15983-B
game of skill	195-16096-B
game point	195-16205-B
game reserve	195-16265-B
game theory	195-16340-B
game warden	195-18135-B
gameful	195-16756-B
gamekeeper	195-16914-B
gamely	195-17051-B
gameness	195-17095-B
gamesmanship	195-17166-B
gamesome	195-17276-B
gamesomeness	195-17339-B
gamester	195-17418-B
gametal	195-17491-B
gametangium	195-17560-B
gamete	195-17645-B
gametic	195-17702-B
gametocyte	195-17764-B
gametogenesis	195-17836-B
gametogeny	195-17919-B
gametophore	195-17989-B
gametophyte	195-18059-B
gamey	195-18230-B
gamic	195-18278-B
gamin	195-18324-B
gaming	195-18382-B
gaming house	195-18437-B
gaming table	195-18492-B
gamma	195-18559-B
gamma carbon	195-18734-B
gamma globulin	195-18804-B
gamma position	195-18879-B
gamma radiation	195-18949-B
gamma ray	195-19028-B
gamma rays	195-19057-B
gammagraphy	195-19121-B
gammer	195-19206-B
gammon	195-19259-B
gammoning	195-19940-B
gammy	195-20050-B
gamobium	195-20370-B
gamodeme	195-20449-B
gamogenesis	195-20532-B
gamogenetic	195-20644-B
gamogony	195-20744-B
gamont	195-20841-B
gamopetalous	195-20907-B
gamophyllous	195-20993-B
gamosepallous	195-21072-B
gamp	195-21173-B
gamut	195-21237-B
gamy	195-21405-B
gan	195-21494-B,195-21555-B
ganch	195-21593-B
ganda	195-21747-B
gander	195-21874-B
gandhian	195-22178-B
gandhiism	195-22331-B
gang	195-22396-B,63-198-S,73-13009-S,359-27731-S,408-7894-S,409-584-S,423-17583-S,510-10640-S,515-25249-S
gang bang	195-22902-B
gang board	195-23117-B
gang boarding	195-23199-B
gang plank	196-464-B
gang rape	196-515-B
ganged	195-23265-B
ganger	195-23327-B,138-6175-S
ganging	195-23388-B
gangland	195-23478-B
ganglia	195-23561-B
gangliac	195-23678-B
gangliate	195-23742-B
gangliform	195-23823-B
gangling	195-23894-B
ganglioblast	195-23963-B
gangliocyte	195-24071-B
ganglion	196-0-B,435-10229-S
ganglionated	196-45-B
ganglioneural	196-109-B
ganglioneuron	196-193-B
ganglionic	196-269-B
ganglioplexus	196-331-B
gangplank	196-414-B
gangrel	196-563-B
gangrene	196-624-B
gangrenous	196-783-B
gangster	196-860-B
gangue	196-925-B
gangway	196-1022-B
ganister	196-1489-B
ganja	196-1593-B
gannet	196-1648-B,54-21142-S
ganoid	196-1712-B
gantlet	196-1860-B
gantry	196-1917-B
gantt chart	196-2082-B
gaol	196-2122-B
gaol bird	196-2397-B
gaol book	196-2575-B
gaol delivery	196-2271-B,196-2728-B
gaolbird	196-2510-B
gaolbreak	196-2626-B
gaoler	196-2842-B
gap	196-2900-B,28-13508-S,29-12064-S,52-3582-S,70-12229-S,155-2925-S,433-4506-S,473-27242-S
gap length	196-3546-B
gap reluctance	196-3607-B
gap toothed	196-4651-B
gape	196-3646-B
gape seed	196-4284-B
gaper	196-4166-B
gapped	196-4472-B
gapping	196-4512-B
gappy	196-4570-B
gar	196-4712-B
garage	196-4744-B
garand rifle	196-4874-B
garb	196-4954-B
garbage	196-5203-B
garbage can	196-5528-B
garbage collection	196-5349-B
garbage collector	196-5596-B
garbage in garbage out	196-5411-B
garbage out	196-5411-S
garbage truck	196-5470-B
garble	196-5698-B
garbo	196-5966-B
garboard	196-6032-B
garboil	196-6091-B
garcon	196-6157-B
garda	196-6228-B
garde	37-5636-S
garden	196-6300-B,45-655-S,183-13661-S,224-26832-S,260-6690-S,282-23062-S,282-24367-S,307-9039-S,347-26887-S,393-2312-S,394-145-S,463-2803-S
garden bed	196-7226-B
garden centre	196-6606-B
garden city	196-6734-B
garden engine	196-7281-B
garden frame	196-7415-B
garden of eden	196-6832-B
