glass ware	201-27777-B
glass window	201-27954-B
glass wool	201-28025-B
glass work	201-28092-B
glasses	114-4329-S,176-19583-S,314-18852-S,361-23296-S,453-11063-S
glassful	201-26317-B
glasshouse	201-26586-B
glassily	201-26991-B
glassine	201-27060-B
glassiness	201-27139-B
glassmaker	201-27389-B
glassman	201-27483-B
glassware	201-27859-B
glassworks	201-28257-B
glassy	201-28353-B
glassy eyed	201-28603-B
glauber s salt	201-28832-B
glauber s salts	201-28923-B
glauberite	201-28766-B
glaucoma	201-29003-B
glaucomatous	201-29090-B
glauconite	201-29196-B
glauconitic	201-29262-B
glaucous	201-29328-B
glaur	201-29441-B
glaze	201-29479-B,138-6248-S
glazed	201-30056-B,410-4003-S
glazer	201-30119-B
glazier	201-30243-B
glaziery	201-30335-B
glazing	201-30395-B,138-0-S,138-6356-S
glazy	201-30539-B
glc	201-30655-B
gleam	201-30757-B
gleaming	201-30981-B
gleamy	201-31023-B
glean	201-31090-B
gleaner	201-31232-B
gleaning	206-14265-S
gleanings	201-31333-B
glebe	201-31508-B
glee	201-31608-B
gleeful	201-31731-B
gleefully	201-31793-B
gleek	202-0-B
gleeman	202-64-B
gleep	202-129-B
gleesome	202-179-B
gleet	202-221-B
gleety	202-326-B
glen	202-381-B
glene	202-430-B
glengarry	202-483-B
glenohumeral	202-575-B
glenoid	202-667-B
glenoidal	202-744-B
gley	202-805-B
glia	202-928-B
gliadin	202-982-B
glib	202-1052-B
glibly	202-1261-B
glibness	202-1329-B
glide	202-1416-B
glide path	202-1543-B
glide path receiver	202-1626-B
glide path transmitter	202-1685-B
glide slope	202-1745-B
glider	202-1811-B,214-29866-S
gliding	202-2307-B,214-29971-S
glidingly	202-2415-B
glim	202-2491-B
glimmer	202-2564-B
glimmering	202-2905-B
glimpse	202-3098-B
glint	202-3527-B
glioma	202-3733-B
glissade	202-3792-B
glissader	202-4006-B
glissandi	202-4065-B
glissando	202-4125-B
glist	202-4184-B
glisten	202-4222-B
glister	202-4343-B
glistery	202-4410-B
glitch	202-4476-B
glitter	202-4537-B
glitterati	202-4876-B
glitteringly	202-5001-B
glittery	202-5076-B
glitz	202-5304-B
glitzy	202-5399-B
gloaming	202-5461-B
gloat	202-5552-B
gloatingly	202-5776-B
global	202-5853-B
global area network	202-5981-B
global bus	202-6083-B
global character	202-6123-B
global communication system	202-6198-B
global descriptor table	202-6276-B
global information system	202-6345-B
global positioning system	202-6422-B
global processor	202-6501-B
global system	202-6547-B
global telecom	202-6630-B
global variable	202-6692-B
global village	202-6755-B
globalism	202-6920-B
globalist	202-6987-B
globalize	202-7079-B
globally	202-7188-B
globate	202-7255-B
globe	202-7337-B,71-18639-S,179-19428-S
globe amaranth	202-7694-B
globe artichoke	202-7616-B
globe fish	202-7914-B
globe flower	202-7983-B
globe lightning	202-8061-B
globe thistle	202-8118-B
globe trot	202-8246-B
globe trotter	202-8335-B
globe trotting	202-8438-B
globed shape	202-7840-B
globetrot	202-8195-B
globigerina	202-8539-B
globin	202-8627-B
globoid	202-8686-B
globoil	202-8774-B
globose	202-8816-B
globous	202-8867-B
globular	202-8908-B
globularity	202-8991-B
globule	202-9080-B
globuliferous	202-9172-B
globulin	202-9262-B,195-18804-S
globulit	202-9326-B
glochidiate	202-9377-B
glochidium	202-9485-B
glockenspiel	202-9590-B
glomerate	202-9664-B
glomeration	202-9765-B
glomerular	202-9880-B
glomerule	202-9982-B
glomeruliferous	202-10103-B
glomerulonephritis	202-10171-B
glomerulus	202-10329-B
glomus	202-10413-B
gloom	202-10517-B
gloomily	202-10780-B
gloominess	202-10850-B
gloomy	202-10980-B
glop	202-11072-B
gloria	202-11143-B
gloria patri	202-11265-B
glorification	202-11337-B,410-4082-S
glorify	202-11504-B
glorifying	410-4166-S
gloriole	202-11624-B
glorious	202-11677-B
gloriously	202-12123-B
glory	202-12192-B,260-21045-S,295-23395-S,311-19601-S
glory hole	202-12953-B
glory tree	202-13128-B
gloss	202-13198-B
glossa	202-13893-B
glossal	202-13981-B,325-5634-S
glossarial	202-14046-B
glossarist	202-14233-B
glossary	202-14442-B
glossator	202-14583-B
glossematic	202-14843-B
glossematics	202-14916-B
glosseme	202-14983-B
glossily	202-15048-B
glossina	202-15130-B
glossiness	202-15216-B
glossitis	202-15276-B
glossograph	202-15337-B
glossographer	202-15451-B
glossolalia	202-15577-B
glossologist	202-15738-B
glossology	202-15860-B
glossopalatine	202-15964-B
glossophagine	202-16049-B
glossopharyngeal	202-16145-B
glossopodium	202-16230-B
glossotomy	202-16296-B
glossy	202-16364-B
glottal	202-16440-B
glottic	202-16479-B
glottid	202-16546-B
glottis	202-16613-B
glottologic	202-16671-B
glottology	202-16747-B
glove	202-16813-B,181-27790-S,214-13459-S,259-9363-S,259-9953-S
glove compartment	202-17319-B
glove factory	202-17558-B
glove fight	202-17638-B
glove maker	202-17708-B
glove puppet	202-17441-B
glover	202-17781-B
gloves	56-18787-S,140-28281-S,174-24046-S
glow	202-17842-B
glow lamp	202-19475-B
glow worm	202-19607-B
glower	202-18966-B
gloweringly	202-19161-B
glowing	202-19254-B
glowingly	202-19429-B
glowworm	202-19535-B
gloxinia	202-19652-B
gloze	202-19702-B
glucagon	202-19891-B
glucinium	202-19950-B
glucometer	202-20017-B
gluconeogenesis	202-20102-B
gluconic acid	202-20221-B
glucoprotein	202-20294-B
glucosamine	202-20366-B
glucose	202-20432-B,126-1163-S
glucosic	202-20486-B
glucoside	202-20544-B
glue	202-20604-B,179-19495-S
glue pot	202-20991-B
glue sniffing	202-21041-B
glued	202-20851-B
glueing	202-20869-B
gluey	202-21134-B
glueynis	202-21221-B
glug	202-21290-S
glug glug	202-21290-B
gluing	202-21384-B
glum	202-21461-B
glumaceous	202-21547-B
glumal	202-21631-B
glume	202-21674-B
glumly	202-21727-B
glumness	202-21785-B
glut	202-21904-B
glutamate	295-1109-S
glutamin	202-22218-B
gluteal	202-22276-B
gluten	202-22334-B
gluten casein	202-22386-B
glutenic	202-22447-B
gluteus	202-22502-B
glutinize	202-22594-B
glutinosity	202-22655-B
glutinous	203-0-B
glutton	203-102-B
gluttonize	203-351-B
gluttonous	203-416-B
gluttonously	203-489-B
gluttony	203-539-B
glycan	203-626-B
glyceric	203-683-B
glyceride	203-739-B
glyceridic	203-797-B
glycerin	203-859-B
glycerine	203-925-B
glycerol	203-971-B
glycine	203-1029-B
glycogen	203-1082-B
glycogenesis	203-1141-B
glycolic acid	203-1213-B
glycolipid	203-1280-B
glycolysis	203-1338-B
glycoprotein	203-1451-B
glycosecretory	203-1522-B
glycoside	203-1608-B
glycosuria	203-1661-B
glyph	203-1737-B
glyptic	203-1819-B
glyptics	203-1889-B
glyptodont	203-1976-B
glyptograph	203-2071-B
glyptography	203-2161-B
glyptoliths	203-2258-B
glysogenesis	203-2346-B
gm	203-2405-B
gmt	203-2612-B,203-2730-B
gnarl	203-2790-B
gnarled	203-2858-B
gnarly	203-2895-B
gnash	203-3065-B
gnashers	203-3208-B
gnashing	203-3263-B
gnat	203-3324-B
gnathal	203-3467-B
gnathic	203-3534-B
gnatty	203-3587-B
gnaw	203-3655-B
gnawer	203-3857-B
gnawing	203-3920-B
gneiss	203-4199-B
gneissic	203-4254-B
gneissis	203-4361-B
gneissoid	203-4467-B
gneissose	203-4512-B
gneissy	203-4571-B
gnome	203-4643-B
gnomic	203-4731-B
gnomical	203-4837-B
gnomically	203-4879-B
gnomish	203-4945-B
gnomon	203-5010-B
gnosis	203-5079-B
gnostic	203-5133-B
gnosticism	203-5184-B
gnp	203-5250-B
gnu	203-5349-B
