guttering	211-12542-B
guttersnipish	211-12929-B
gutterway	211-13019-B
guttiform	211-13092-B
guttle	211-13149-B
guttler	211-13206-B
guttula	211-13258-B
guttulate	211-13328-B
guttulose	211-13409-B
guttural	211-13471-B
gutturalism	211-13575-B
gutturality	211-13607-B
gutturalize	211-13640-B
gutturally	211-13765-B
gutty	211-13797-B
guv	211-13818-B
guv nor	211-14053-B
guve	211-13920-B
guvnor	211-13931-B
guy	211-14109-B,171-11885-S,171-13502-S,521-16523-S
guy fawkes night	211-14637-B
guzzle	211-14855-B
guzzler	211-15025-B
gw basic	211-15105-B
gybe	211-15172-B
gyle	211-15239-B
gym	211-15297-B
gym slip	211-17225-B
gymkhana	211-15372-B
gymnasia	211-15513-B
gymnasium	211-15664-B
gymnast	211-15713-B
gymnastic	211-15847-B
gymnastically	211-16187-B
gymnastics	211-16222-B
gymnocarpic	211-16625-B
gymnocyte	211-16723-B
gymnogenous	211-16785-B
gymnoplast	211-16857-B
gymnosperm	211-16932-B
gymnospermous	211-17013-B
gymnosperms	211-17048-B
gymnospermy	211-17127-B
gymnospore	211-17161-B
gynaeceum	211-17308-B
gynaecium	211-17410-B
gynaecoid	211-17468-B
gynaecological	211-17540-B
gynaecologist	211-17622-B
gynaecology	211-17703-B
gynandromorph	211-17769-B
gynandromorphic	211-17850-B
gynandromorphism	211-17943-B
gynandrophore	211-18077-B
gynandrous	211-18194-B
gynantherous	211-18276-B
gynanthropia	211-18375-B
gynecological	211-18485-B
gynecologist	211-18556-B
gynecology	211-18649-B
gyoscopie	211-18726-B
gyp	211-18772-B
gypper	211-19004-B
gyppo	211-19026-B
gyps	211-19115-B
gypsa	211-19152-B
gypseous	211-19238-B
gypsophil	212-0-B
gypsophilous	212-75-B
gypsophily	212-129-B
gypsous	212-218-B
gypsum	212-268-B
gypsy	212-307-B
gyral	212-444-B
gyrate	212-529-B
gyration	212-597-B
gyrator	212-679-B,66-21580-S
gyrator circuit	212-756-B
gyratory	212-809-B
gyre	212-881-B
gyrene	212-990-B
gyrfalcon	212-1065-B
gyro	212-1157-B
gyro compass	212-1318-B,212-1438-B
gyrobearing	212-1221-B
gyrocompass	212-1350-B
gyrofrequency	212-1516-B
gyroidal	212-1565-B
gyrolevel	212-1628-B
gyromagnetic	212-1720-B
gyromagnetic medium	212-1804-B
gyromagnetic resonance	212-1868-B
gyropilot	212-1936-B
gyroplane	212-2036-B
gyroscope	212-2127-B
gyroscopic	212-2199-B
gyroscopically	212-2266-B
gyrose	212-2302-B
gyroservo	212-2364-B
gyrostabilization	212-2412-B
gyrostabilizer	212-2486-B
gyrostat	212-2607-B
gyrostatic	212-2677-B
gyrotiller	212-2762-B
gyrotropic	212-2816-B
gyrus	212-2889-B
gyve	212-2987-B
h	212-3101-B
h bomb	216-20440-B
h hour	220-11882-B
h p	212-3172-B
h wave	147-8122-S
ha	212-3324-B,212-3504-S,212-20392-S,224-17549-S
ha ha	212-3504-B,212-20392-B
ha p orth	214-34383-B
ha penny	214-32995-B
haaf	212-3643-B
haangi	212-3712-B
haar	212-3838-B
habanera	212-3937-B
habdalah	212-4061-B
habeas corpus	212-4190-B
haberdasher	212-4456-B
haberdashery	212-4597-B
habergeon	212-4803-B
habile	212-4882-B
habiliment	212-4942-B
habilitate	212-5061-B
habilitation	212-5276-B
habit	212-5455-B,141-4737-S,186-5898-S,391-16256-S
habit forming	212-6695-B
habitability	212-6107-B
habitable	212-6177-B
habitableness	212-6243-B
habitant	212-6300-B
habitat	212-6408-B
habitation	212-6547-B
habitual	212-6761-B
habitually	212-7043-B
habituate	212-7124-B
habitude	212-7209-B
habitue	212-7350-B
habitus	212-7431-B
haboob	212-7608-B
hacek	212-7670-B
hachure	212-7733-B
hacienda	212-7800-B
hack	212-7900-B
hack hammer	212-9228-B
hack saw	212-11079-B
hack work	212-11215-B
hackberry	212-8851-B
hackbut	212-8933-B
hackbuteer	212-9000-B
hacker	212-9068-B
hackery	212-9172-B
hacking	212-9291-B
hacking cough	212-9378-B
hacking jacket	212-9443-B
hackle	212-9535-B
hackles	212-9981-B
hackly	212-10298-B
hackman	212-10410-B
