anecdotical	19-16134-B
anecdotically	19-16232-B
anecdotist	19-16267-B
anechoic	19-16379-B
anechoic chamber	19-16531-B
anele	19-16605-B
anemia	19-16703-B
anemic	19-16766-B
anemically	19-16848-B
anemochorous	19-16877-B
anemogamic	19-16949-B
anemogamy	19-17019-B
anemogram	19-17094-B
anemograph	19-17147-B
anemographic	19-17224-B
anemometer	19-17300-B
anemometric	19-17377-B
anemometrical	19-17457-B
anemometry	19-17493-B
anemone	19-17555-B,406-17977-S
anemophilous	19-17628-B
anemophily	19-17720-B
anemoscope	19-17795-B
anemospore	19-17860-B
anemotaxis	19-17951-B
anemotropic	19-18015-B
anemotropism	19-18079-B
anencephalous	20-0-B
anencephaly	20-63-B
anent	20-163-B
anenterous	20-256-B
anergia	20-316-B
aneroid	20-402-B
anesthesia	20-501-B
anesthetic	20-608-B
anesthetically	20-660-B
anesthetist	20-697-B
anesthetization	20-768-B
anesthetize	20-879-B
anestrum	20-980-B
anethum	20-1028-B
aneuploid	20-1069-B
aneuploidy	20-1203-B
aneurine	20-1289-B
aneurism	20-1382-B
aneurismal	20-1485-B
aneuronic	20-1539-B
aneurysm	20-1629-B
aneurysmal	20-1675-B
aneusomaly	20-1759-B
aneuspore	20-1846-B
anew	20-1931-B
anfractuosity	20-2064-B
anfractuous	20-2310-B
ang	461-16863-S
angary	20-2412-B
angel	20-2639-B,210-9563-S,406-22222-S
angel cake	20-3415-B
angel fish	20-3488-B,20-3561-B
angelic	20-3619-B
angelica	20-3664-B
angelical	20-3741-B
angelically	20-3848-B
angelology	20-3943-B
angels on horseback	20-4014-B
angelus	20-4107-B
anger	20-4217-B
angina	20-4443-B
angina pectoris	20-4562-B
anginal	20-4666-B
anginose	20-4692-B
anginous	20-4739-B
angioblast	20-4816-B
angiocarp	20-4886-B
angiogamy	20-4957-B
angiogenesis	20-5044-B
angiographic	20-5123-B
angiography	20-5213-B
angiology	20-5292-B
angioma	20-5426-B
angiomatous	20-5483-B
angiosperm	20-5514-B
angiospermous	20-5594-B
anglais	100-10784-S
anglaise	59-9855-S
angle	20-5706-B,4-4344-S,15-13485-S,44-2474-S,60-1997-S,119-12420-S,149-8438-S,168-10090-S,218-16082-S,308-10605-S,309-1315-S,391-27128-S,395-10122-S,430-2383-S,434-18811-S,446-4408-S
angle bracket	20-6655-B
angle iron	20-7599-B
angle of aspect	20-6720-B
angle of cut off	20-6760-B
angle of elevation	20-6797-B
angle of flow	20-6878-B
angle of groove	20-6934-B
angle of incidence	20-6990-B
angle of lag	20-7057-B
angle of polarization	20-7091-B
angle of reflection	20-7139-B
angle of refraction	20-7221-B
angle of sight	20-7302-B
angle reflector	20-7354-B
angle shock wave	20-7422-B
angle tracking	20-7496-B
angle wise	20-7736-B
angled	20-7536-B,391-27201-S
angler	20-7645-B
angles	7-20806-S,15-13521-S
angleworm	20-7807-B
anglican	20-7855-B
anglicanism	20-8001-B
anglice	20-8079-B
anglicise	20-8139-B
anglicism	20-8195-B
anglicization	20-8301-B
anglicize	20-8370-B
angling	20-8418-B
anglo	20-8476-B,20-8510-B
anglo american	20-8609-B
anglo catholic	20-8752-B
anglo french	20-8820-B
anglo indian	20-9045-B
anglo norman	20-9301-B
anglo saxon	20-9818-B
anglomania	20-9115-B
anglomaniac	20-9180-B
anglophile	20-9455-B
anglophobe	20-9507-B
anglophobia	20-9596-B
anglophone	20-9686-B
anglophonic	20-9749-B
angola	20-10039-B
angonekton	20-10080-B
angora	20-10194-B
angostura	20-10461-B
angrily	20-10617-B
angry	20-10684-B
angst	20-11075-B
angstrom	20-11223-B
angstrom unit	20-11298-B
anguine	20-11361-B
anguish	20-11428-B
anguished	20-11726-B
angular	20-11781-B
angular acceleration	20-12140-B
angular deflection	20-12228-B
angular deviation	20-12274-B
angular distance	20-12319-B
angular frequency	20-12358-B
angular length	20-12401-B
angular light sensing	20-12441-B
angular modulation	20-12501-B
angular oscillation	20-12549-B
angular width	20-12595-B
angularity	20-12636-B
angularly	20-12875-B
angularness	20-12976-B
angulate	20-13029-B
angulately	20-13153-B
angulation	20-13184-B
angulosplenial	20-13297-B
angulous	20-13388-B
angustifoliate	20-13440-B
angustura	20-13525-B
anharmonic	20-13579-B
anharmonic resonance	20-13615-B
anhelation	20-13678-B
anhelous	20-13747-B
anhydride	20-13806-B
anhydrite	20-13866-B
anhydrobiosis	20-13937-B
anhydrous	20-14048-B
aniconic	20-14180-B
anicut	20-14326-B
anidian	20-14366-B
anigh	20-14416-B
anil	20-14465-B
anile	20-14542-B
aniline	20-14679-B
anilingus	20-14732-B
anility	20-14818-B
anima	20-14930-B
animadversion	20-14991-B
animadvert	20-15101-B
animal	20-15301-B,40-2992-S,324-4143-S
animal magnetism	20-15675-B
animal pole	20-15796-B
animal starch	20-15889-B
animalcular	20-15990-B
animalcule	20-16067-B
animalise	20-16132-B
animalism	20-16253-B
animalist	20-16425-B
animalistic	20-16532-B
animality	20-16565-B
animalization	20-16689-B
animalize	20-16832-B
animalness	20-16880-B
animals	221-4045-S
animate	20-16963-B
animated	20-17232-B
animated cartoon	20-17455-B
animated sequence	20-17532-B
animatedly	20-17588-B
animation	20-17619-B,91-9874-S,456-8825-S,456-9040-S
animato	20-17931-B
animator	20-18015-B
