highflying	221-4994-B
highjack	221-5916-B
highjacker	221-5958-B
highjacking	221-6006-B
highjinks	221-6120-B
highland	221-6606-B
highland dancing	221-6704-B
highland fling	221-6798-B
highland pony	221-6886-B
highlander	221-7003-B
highlands	221-7118-B
highlight	221-7349-B
highlighter	221-7986-B
highlighting	133-16303-S
highly	221-8048-B
highly strung	221-8457-B
highness	221-9094-B,395-25328-S
highproof	221-9930-B
hight	221-10914-B
highway	221-12160-B,12-7106-S,46-0-S
highway code	221-12332-B
highway robbery	221-12420-B
highwayman	221-12535-B
hiindu calendar	221-12703-B
hija	221-12868-B
hijack	221-12939-B
hijacker	221-13194-B
hijacking	221-13352-B
hike	221-13403-B,222-12659-S,462-22165-S,513-18930-S
hiker	221-13867-B,222-12931-S
hila	221-13935-B
hilarious	221-13970-B
hilariously	221-14035-B
hilariousness	221-14107-B
hilarity	221-14191-B
hilary	221-14263-B
hilary term	221-14404-B
hill	221-14547-B,22-7136-S,185-19947-S,400-1424-S,419-19812-S
hill billy	221-15091-B
hill climb	221-15004-B
hill station	221-16054-B
hillbilly	221-15188-B
hillfort	221-15294-B
hilliness	221-15435-B
hilling	221-15526-B
hillness	221-15595-B
hillo	221-15687-B
hilloa	221-15804-B
hillock	221-15839-B
hillocky	221-15932-B
hillside	221-15999-B
hilltop	221-16156-B
hilly	221-16209-B
hilt	221-16275-B,43-831-S
hilum	221-16510-B
him	221-16596-B
him eff off	267-25364-S
him her what s his her name	518-19546-S
himalayan balsam	221-16657-B
himation	221-16748-B
himself	221-16880-B
himyarite	221-17118-B
hin	221-17327-B
hind	221-17430-B
hind wing	221-17647-B
hindbrain	221-17737-B
hinder	221-17798-B
hindermost	221-18048-B
hindi	221-18097-B
hindleg	221-18161-B
hindmost	221-18230-B
hindo	221-18315-B
hindoo	221-18370-B
hindostani	221-18406-B
hindquarter	221-18471-B
hindquarters	221-18627-B
hindrance	221-18707-B
hindsight	221-18804-B
hindu	221-18969-B
hinduism	221-19166-B
hinduize	221-19235-B
hindustani	221-19368-B
hinge	221-19506-B,137-7763-S
hinge joint	221-20042-B
hinged	221-20196-B
hingeless	221-20278-B
hinnie	221-20424-B
hinny	221-20458-B
hint	221-20661-B
hinterland	221-21193-B
hintingly	221-21360-B
hip	221-21455-B,394-17440-S
hip bath	221-21965-B
hip bone	221-22125-B
hip disease	221-22188-B
hip flash	221-22406-B
hip flask	221-22529-B
hip joint	221-22613-B
hip pocket	221-23485-B
hip roof	222-504-B
hipe	221-22261-B
hippeastrum	221-22679-B
hipped	221-22777-B,458-4459-S
hippie	221-23069-B
hippo	221-23185-B
hippocampal	221-23272-B
hippocampi	221-23336-B
hippocampus	221-23390-B
hippocras	221-23556-B
hippocratic	221-23642-B
hippocratic oath	222-0-B
hippodrome	222-132-B
