homicide	223-29725-B,410-4986-S
homiletic	223-29843-B
homiletics	223-29991-B
homilist	223-30076-B
homily	223-30175-B
hominem	7-2266-S
homing	223-30331-B
homing device	223-30422-B
homing pigeon	223-30537-B
hominid	223-30600-B
hominization	223-30653-B
hominized	223-30773-B
hominoid	223-30867-B
hominy	223-30983-B
homo	223-31085-B,144-20458-S
homo sapiens	223-31199-B
homocentric	223-31273-B
homocercal	223-31335-B
homochromatic	223-31412-B
homoclitic	223-31477-B
homocyclic	223-31521-B
homodont	223-31590-B
homoeomorphic	223-31656-B
homoeomorphism	223-31732-B
homoeopath	224-0-B
homoeopathic	224-102-B
homoeopathy	224-159-B
homoeostasis	224-250-B
homoeostatic	224-320-B
homoerotism	224-398-B
homogametic	224-456-B
homogamy	224-540-B
homogenate	224-614-B
homogeneity	224-684-B
homogeneous	224-801-B,305-4864-S
homogeneousness	224-900-B
homogenesis	224-965-B
homogenetic	224-1066-B
homogeneus	224-1157-B
homogenise	224-1327-B
homogenize	224-1624-B
homogeny	224-1677-B
homograft	224-1772-B
homograph	224-1838-B
homographic	224-1908-B
homogroup	224-2100-B
homolecithal	224-2126-B
homologate	224-2271-B
homologation	224-2373-B
homological	224-2493-B
homologise	224-2551-B
homologize	224-2605-B
homologous	224-2832-B
homologous to	224-2935-B
homolographic	224-2993-B
homologue	224-3101-B
homology	224-3219-B
homomorph	224-3338-B
homomorphic	224-3364-B
homomorphism	224-3420-B
homomorphous	224-3491-B
homomorphy	224-3556-B
homonym	224-3603-B
homonymic	224-3684-B
homonymous	224-3734-B
homonymy	224-3800-B
homophile	224-3868-B
homophone	224-3932-B
homophonic	224-4132-B
homophonous	224-4252-B
homophony	224-4450-B
homopteran	224-4561-B
homopterous	224-4681-B
homoscedastic	224-4809-B
homosexual	224-4888-B
homosexuality	224-4966-B
homothallic	224-5057-B
homothallism	224-5120-B
homothetic	224-5190-B
homotopic	224-5229-B
homotopy	224-5255-B
homozygosis	224-5529-B
homozygosity	224-5602-B
homozygote	224-5702-B
homuncule	224-5782-B
homunculus	224-5846-B
homy	224-5967-B
hon	224-6000-B,224-6324-B
hon sec	224-6250-B,224-6576-B
hone	224-6644-B
honest	224-6814-B
honest broker	224-7579-B
honest to goodness	224-7881-B
honestly	224-7779-B
honesty	224-7964-B
honewort	224-8110-B
honey	224-8182-B,88-2999-S,290-15205-S
honey badger	224-8384-B
honey bear	224-8479-B
honey bee	224-9285-B
honey buzzard	224-9352-B
honey cup	224-9635-B
honey dew	224-9762-B
honey eater	224-8562-B
honey fungus	224-8615-B
honey guide	224-8714-B
honey locust	224-8922-B
honey mouse	224-9010-B
honey mouthed	224-10131-B
honey sac	224-9116-B
honey sucker	224-9205-B
honey tongued	224-10271-B
honeycomb	224-9433-B
honeydew	224-9717-B
honeydew melon	224-9899-B
honeyed	224-9984-B
honeymoon	224-10022-B
honeysuckle	224-10223-B
hong	224-10329-B
hongi	224-10506-B
honied	224-10704-B
honk	224-10874-B
honkie	224-11027-B
honky tonk	224-11131-B
honneur	177-22517-S
honor	224-11232-B,280-25525-S,284-15011-S
honorable	224-11302-B
honorably	224-11374-B
honorand	224-11448-B
honoraria	224-11523-B
honorarium	224-11576-B
honorary	224-11714-B
honored	469-23805-S
honorific	224-11897-B
honour	224-11992-B,176-17297-S,279-7586-S,279-9806-S,280-25563-S,284-15069-S,284-15754-S,297-2598-S,393-15100-S
honourable	224-13968-B,391-25984-S
honourable mention	224-14354-B
honourably	224-14506-B
honoured	14-5843-S,469-23891-S
honours	256-7849-S
honours list	224-14647-B
hons	224-14750-B
hoo ha	224-17549-B
hooch	224-14818-B
hood	224-14897-B
hooded	224-15309-B
hooded crow	224-15496-B
hooded seal	224-15575-B
hoodie	224-15673-B
hoodlum	224-15707-B
hoodlumism	224-15771-B
hoodman blind	224-15814-B
hoodoo	224-15875-B
hoodwink	224-16066-B
hoody	224-16169-B
hooey	224-16236-B
hoof	224-16379-B
hoof and mouth disease	224-17122-B
hoof pick	224-17028-B
hoofbeat	224-17192-B
hoofbound	224-17302-B
hoofed	224-17367-B,430-3063-S
hoofer	224-17412-B
hoofprint	224-17490-B
hook	224-17643-B,29-25679-S,53-13595-S,178-28067-S,179-19714-S,184-9992-S,324-6203-S,355-5007-S,367-13323-S,379-25453-S,405-23423-S,415-35661-S,416-8573-S,427-5620-S,465-2206-S
hook nose	224-19005-B
hook nosed	224-19713-B
hook s joint	224-19773-B
hook shot	224-19058-B
hook up	224-19841-B
hook worm	224-20176-B
hooka	224-19136-B
hookah	224-19184-B
hooked	224-19219-B
hooker	224-19285-B
hookey	224-19574-B
hooklet	224-19660-B
hooky	224-20227-B
hooley	224-20261-B
hooligan	224-20356-B
hooliganism	224-20448-B
hoop	224-20526-B,84-21765-S,480-14663-S
hoop iron	224-21326-B
hoop la	224-21540-B
hoop skirt	224-21690-B
hooper	224-21199-B
hooping cough	224-21269-B
hoopla	224-21397-B
hoopoe	224-21621-B
hooray	224-21747-B
hooray henri	224-21856-B
hoorey	224-21958-B
hooroo	224-22016-B
hoose	224-22071-B
hoosegow	224-22127-B
hoot	224-22197-B
hootenanny	224-22880-B
hooter	224-23021-B
hoots	224-23145-B
hoove	224-23224-B
hoover	224-23313-B
hooves	224-23419-B
hop	224-23452-B,45-22448-S,217-36585-S,273-22889-S
hop bind	224-24467-B
hop bine	224-24511-B
hop field	224-26759-B
hop garden	224-26832-B
hop o my thumb	224-27085-B
hop picker	224-27488-B
hop pillow	224-27599-B
hop pocket	225-119-B
hop pole	225-226-B
hop step and jump	224-24368-B
hop yard	225-443-B
