identification card	231-7154-B
identification disc	231-7228-B
identification disk	231-7303-B
identification parade	231-7375-B
identification tag	231-7503-B
identifier	231-7594-B,156-19678-S
identify	231-7627-B
identikit	231-8189-B
identity	231-8309-B,410-5292-S
identity bracelet	231-8661-B
identity card	231-8760-B
identity crisis	231-8852-B
identity disc	231-9038-B
identity disk	231-9113-B
identity matrix	231-9243-B
identity parade	231-9317-B
ideogram	231-9379-B
ideogrammatic	231-9471-B
ideogrammatically	231-9512-B
ideograph	231-9550-B
ideographic	231-9597-B
ideographical	231-9653-B
ideographically	231-9774-B
ideography	231-9811-B
ideologic	231-9930-B
ideological	231-10001-B
ideologically	231-10058-B
ideologist	231-10135-B
ideologue	231-10314-B
ideology	231-10509-B
ides	231-10740-B
idioblast	231-10851-B
idioblastic	231-10919-B
idiocrasy	231-10986-B
idiocy	231-11211-B
idioglossia	231-11340-B
idiograph	231-11475-B
idiolect	231-11568-B
idiolectal	231-11669-B
idiolectic	231-11700-B
idiom	231-11731-B
idiomatic	231-11931-B
idiomatical	231-12384-B
idiomatically	231-12438-B
idiomaticalness	231-12533-B
idiomaticity	231-12597-B
idiomorphic	231-12736-B
idiomorphism	231-12829-B
idiopathic	231-12935-B
idiopathical	231-12989-B
idiopathically	231-13056-B
idiopathy	231-13093-B
idiophone	231-13160-B
idiophonic	231-13238-B
idioplasm	231-13330-B
idioplasmatic	231-13418-B
idioplasmic	231-13478-B
idiosyncrasy	231-13552-B
idiosyncratic	231-13608-B
idiosyncratically	231-13903-B
idiot	231-13945-B
idiot board	231-13995-B
idiot card	231-14129-B
idiot savant	231-14264-B
idiotic	231-14444-B
idiotical	231-14516-B
idiotically	231-14563-B
idiotise	231-14631-B
idiotism	231-14675-B
idiotize	231-14748-B
idle	231-14821-B,54-17288-S,54-17993-S,62-22758-S
idle pulley	231-16250-B
idle wheel	231-16335-B
idleness	231-16448-B,62-22836-S
idler	231-16489-B
idlesse	231-16746-B
idly	231-17079-B
idol	231-17242-B,284-12657-S
idola	231-17467-B
idolater	231-17506-B
idolatress	231-17768-B
idolatrise	231-17961-B
idolatrize	231-18013-B
idolatrizer	231-18173-B
idolatrous	231-18363-B
idolatrously	231-18532-B
idolatrousness	231-18629-B
idolatry	231-18763-B
idolisation	231-18838-B
idolise	231-18974-B
idolization	231-19095-B
idolize	231-19152-B
idolizer	231-19243-B
idolum	231-19290-B
idyl	231-19431-B
idyll	231-19623-B
idyllic	231-19655-B
idyllically	231-19820-B
idyllist	231-19902-B
idyllize	231-19979-B
ie	231-20117-B
ieee	231-20187-B
if	231-20256-B
iffiness	231-21271-B
iffy	231-21296-B
ifip	231-21407-B
igloo	231-21518-B
igneous	231-21594-B
ignescent	231-21745-B
ignis fatuus	231-21816-B
ignitability	231-21917-B
ignitable	231-22036-B
ignite	231-22108-B,410-5374-S
igniter	231-22387-B
ignitible	231-22549-B
ignition	231-22596-B,8-26193-S,148-7462-S,358-4647-S,410-5439-S
ignitor	231-22895-B
ignobility	231-22921-B
ignoble	231-23036-B
ignobleness	231-23343-B
ignobly	231-23393-B
ignominious	231-23458-B
ignominiously	231-23692-B
ignominiousness	231-23770-B
ignominy	231-23809-B
ignorable	231-24044-B
ignoramus	231-24222-B
ignorance	231-24287-B
ignorant	231-24527-B
ignorantism	231-24668-B
ignorantly	231-24740-B
ignorantness	231-24809-B
ignore	231-24862-B
ignore b gate	1-3355-S
ignore character	52-3845-S
ignorer	231-25077-B
iguana	231-25199-B
iguanid	231-25285-B
iguanodon	231-25364-B
ike	231-25452-B
ikebana	231-25504-B
ikey	231-25619-B
ikon	231-25724-B
il faut	88-29456-S
ilamb	231-25757-B
ilang	231-25808-S
ilang ilang	231-25808-B
ileal	231-25940-B
ileitis	231-25963-B
ileocecal	231-26030-B
ileostomy	231-26119-B
ileum	231-26207-B
ileus	232-0-B
ilex	232-57-B
ilia	232-144-B
iliac	232-215-B
iliad	232-333-B
ilium	232-671-B
ilk	232-705-B
ilka	232-1011-B
ill	232-1112-B
ill acquired	232-3402-B
ill advised	232-3504-B
ill advisedly	232-3574-B
ill affected	232-3611-B
ill assorted	232-3739-B
ill at ease	232-2347-B,232-3848-B
ill behaved	232-4263-B
ill being	232-4330-B
ill blood	232-2447-B
ill boding	232-4418-B
ill bred	232-4500-B
ill breeding	232-2504-B
ill conditinned	232-4568-B
ill conditioned	232-4607-B
ill conditionedness	232-4718-B
ill considered	232-4836-B
ill defined	232-4946-B
ill disposed	232-5020-B
ill disposedness	232-5142-B
ill dressed	232-5280-B
ill fated	232-7607-B
ill favoured	232-7681-B
ill favouredness	232-7787-B
ill feeling	232-2617-B,232-7910-B
ill founded	232-8000-B
ill gotten	232-8098-B
ill humour	232-2736-B
ill humoured	232-8348-B
ill humouredness	232-8444-B
ill judged	232-10710-B
ill looking	232-10788-B
ill mannered	232-10849-B
ill manneredly	232-10931-B
ill manneredness	232-10970-B
ill nature	232-2791-B
ill natured	232-2938-B,232-11082-B
ill naturedly	232-11136-B
ill naturedness	232-11173-B
ill nourished	232-11285-B
ill omened	232-11894-B
ill reputed	232-11962-B
ill sorted	232-12050-B
ill spent	232-12234-B
ill spoken	232-12323-B
ill starred	232-12382-B
ill suited	232-12513-B
ill temper	232-3062-B
ill tempered	232-12591-B
ill temperedly	232-12674-B
ill temperedness	232-12713-B
ill timed	232-12821-B
ill treat	232-12965-B
ill treatment	232-13049-B
ill turn	232-3116-B
ill usage	232-16092-B
ill use	232-16198-B
ill will	232-3347-B,232-19242-B
ill wisher	232-19283-B
illation	232-3953-B
illative	232-4056-B
illatively	232-4169-B
illaudable	232-4200-B
illegal	232-5371-B
illegalisation	232-5509-B
illegalise	232-5626-B
illegality	232-5676-B
illegalization	232-5727-B
illegalize	232-5831-B
illegally	232-5910-B
illegatity	232-5991-B
illegatization	232-6138-B
illegibility	232-6229-B
illegible	232-6315-B
illegibleness	232-6413-B
illegibly	232-6470-B
illegitimacy	232-6527-B
illegitimate	232-6692-B
illegitimately	232-7173-B
illegitimateness	232-7268-B
illegitimation	232-7391-B
illiberal	232-8573-B
illiberalise	232-8732-B
illiberalism	232-8870-B
illiberality	232-8904-B
illiberalize	232-8962-B
illiberally	232-9018-B
illiberalness	232-9090-B
illicit	232-9290-B
illicitly	232-9462-B
illicitness	232-9491-B
illimitability	232-9544-B
illimitable	232-9639-B
illimitableness	232-9718-B
illimitably	232-9819-B
illinium	232-9854-B
illiquid	232-9907-B
illiquidity	232-10016-B
illiteracy	232-10048-B,193-6160-S
illiterate	232-10199-B,193-6276-S
illiterately	232-10620-B
illiterateness	232-10655-B
illness	232-11212-B,287-18603-S
illocutionary force	232-11357-B
illogical	232-11537-B
illogicality	232-11673-B
illogically	232-11761-B
illogicalness	232-11835-B
illume	232-13154-B
illuminability	232-13246-B
illuminable	232-13360-B
illuminance	232-13454-B
illuminant	232-13519-B
illuminate	232-13642-B
illuminati	232-14362-B
illuminating	232-14480-B
illuminating system	149-5326-S
illuminatingly	232-14623-B
illumination	232-14660-B
illuminative	232-15243-B
illuminator	232-15329-B
illumine	232-15544-B
illuminist	232-15811-B
illuministic	232-15892-B
illuminometer	232-15969-B
illuory	232-16048-B
illusion	232-16350-B,315-11715-S
illusional	232-16664-B
illusionary	232-16695-B
illusionism	232-16727-B
illusionist	232-16797-B
illusionistic	232-16991-B
illusionistically	232-17032-B
illusionless	232-17073-B
illusive	232-17106-B
illusively	232-17201-B
illusiveness	232-17232-B
illusory	232-17370-B
illustratable	232-17458-B
illustrate	232-17553-B
illustration	232-17850-B
illustrational	232-17984-B
illustrative	232-18023-B
illustratively	232-18150-B
illustrator	232-18189-B
illustrious	232-18325-B
illustriously	232-18562-B
illustriousness	232-18638-B
illuvia	232-18780-B
illuvial	232-18919-B
illuviation	232-19009-B
illuvium	232-19102-B
illy	232-19378-B
ilmenite	232-19407-B
ilo	232-19467-B
image	232-19616-B,1-395-S,1-780-S,90-11295-S,92-3400-S,92-4036-S,119-10405-S,128-13040-S,131-23859-S,133-16378-S,145-4108-S,145-4539-S,149-5404-S,200-22007-S,205-20674-S,206-16396-S,207-11689-S,207-13085-S,264-27421-S,291-21832-S,358-4758-S,410-5511-S,436-3464-S
image conversion	128-15643-S
image converter	232-20570-B
image pick up device	149-13732-S
image processing	91-10601-S
image reproducing device	149-13809-S
image storage device	149-13898-S
image tube	232-20647-B,149-5447-S,149-13977-S
imageable	232-20803-B
imageless	232-21024-B
imager	232-21051-B
imagery	232-21238-B
imaginability	232-21453-B
imaginable	232-21487-B
imaginableness	232-21571-B
imaginably	232-21668-B
imaginal	232-21701-B
imaginarily	232-21784-B
imaginariness	232-21817-B
imaginary	232-21945-B
imaginary c at infinity	232-22137-B
imaginary number	232-23958-B
imaginary part	232-24025-B
imagination	232-24101-B
imaginational	232-24410-B
imaginative	232-24447-B
imaginatively	232-24749-B
imaginativeness	232-24838-B
imagine	232-24973-B
imaginer	232-25317-B
imagines	232-25408-B
imaging	128-13086-S
imaging and communications in medicine	128-13140-S
imagism	232-25447-B
imagist	232-25558-B
imagistic	232-25641-B
imagistically	232-25724-B
imago	232-25757-B,450-441-S
imam	232-25848-B
imamate	233-0-B
imaret	233-115-B
imbalance	233-221-B
imbalanced	233-395-B
imbark	233-427-B
imbecile	233-490-B
imbecilely	233-690-B
imbecilic	233-721-B
imbecility	233-887-B
imbed	233-1057-B
imbedded	233-1337-B
imbedding	233-1417-B
imbibe	233-1586-B
imbiber	233-1809-B
imbibition	233-1871-B
imbibitional	233-2004-B
imbitter	233-2192-B
imbody	233-2258-B
imbosom	233-2323-B
imbower	233-2391-B
imbricate	233-2458-B
imbrication	233-2645-B
imbricative	233-2830-B
imbroglio	233-3027-B
imbrown	233-3261-B
imbrue	233-3322-B
imbruement	233-3688-B
imbrute	233-3849-B
imbrutement	233-3935-B
imbue	233-4037-B
imbuement	233-4146-B
imexplorable	233-4251-B
imf	233-4449-B
imidazole	233-4548-B
imide	233-4612-B
imidic	233-4658-B
imitability	233-4714-B
imitable	233-4840-B
imitableness	233-4946-B
imitate	233-4999-B
imitation	233-5365-B
imitational	233-5620-B
imitative	233-5729-B
imitatively	233-5979-B
imitativeness	233-6012-B
imitator	233-6086-B
immaculacy	233-6209-B
immaculate	233-6264-B
immaculately	233-6614-B
immaculateness	233-6649-B
immanence	233-6738-B
immanency	233-6784-B
immanent	233-6861-B
immanently	233-6974-B
immaterial	233-7005-B
immaterialise	233-7174-B
immaterialism	233-7307-B
immaterialist	233-7387-B
immateriality	233-7481-B
immaterialize	233-7603-B
immaterially	233-7665-B
immaterialness	233-7700-B
immature	233-7737-B
immaturely	233-8041-B
immatureness	233-8072-B
immaturity	233-8160-B
immeasurability	233-8215-B
immeasurable	233-8282-B
immeasurableness	233-8472-B
immeasurably	233-8604-B
immediacy	233-8660-B
immediate	233-8711-B
immediate annuity	233-9097-B
immediate constituent	233-9239-B
immediately	233-9512-B
immediateness	233-9605-B
immediatism	233-9729-B
immediatist	233-9837-B
immedicable	233-9956-B
immedicacble	233-10063-B
immemorial	233-10152-B
immemorially	233-10295-B
immennsurability	233-10330-B
immense	233-10429-B
immensely	233-10549-B
immenseness	233-10634-B
immensity	233-10726-B
immensurability	233-10773-B
immensurable	233-10840-B
immensurableness	233-10924-B
immerge	233-10991-B
immergence	233-11119-B
immerse	233-11222-B
immersed	233-11546-B
immersible	233-11631-B
immersion	233-11713-B
immersion heater	233-12043-B
immesh	233-12148-B
immigrant	233-12203-B
immigrate	233-12298-B
immigration	233-12386-B
immigration control	233-12526-B
imminence	233-12626-B
imminency	233-12671-B
imminent	233-12804-B
imminently	233-13001-B
imminentness	233-13061-B
immingle	233-13094-B
immiscibility	233-13157-B
immiscible	233-13241-B
immiscibly	233-13311-B
immitigability	233-13344-B
immitigable	233-13471-B
immitigableness	233-13691-B
immitigably	233-13728-B
immittance	233-13763-B
immix	233-13825-B
immixture	233-13886-B
immobile	233-14030-B
immobilisation	233-14119-B
immobilise	233-14183-B
immobility	233-14232-B
immobilization	233-14296-B
immobilize	233-14576-B
immobilizer	233-14814-B
immoderate	233-14848-B
immoderately	233-14980-B
immoderateness	233-15052-B
immoderation	233-15167-B
immodest	233-15227-B
immodestly	233-15479-B
immodesty	233-15553-B
immolate	233-15755-B
immolation	233-15893-B,410-5603-S
immolator	233-16028-B
immoral	233-16168-B
immoralise	233-16345-B
immoralism	233-16395-B
immoralist	233-16483-B
immorality	233-16585-B
immoralize	233-16775-B
immorally	233-16846-B
immortal	233-16953-B
immortal hand	233-17335-B
immortalisation	233-17437-B
immortalise	233-17614-B
