in and outer	236-18629-B
in arm	29-13564-S
in arms	89-23004-S,92-9531-S
in behalf	236-10592-B
in between	236-28956-B
in blue	280-24977-S
in c	63-9244-S
in check	60-23082-S
in cheek	471-20201-S
in chief	88-28689-S,146-6416-S,146-6679-S,198-11867-S
in coitu	236-10628-B
in command	407-24430-S,408-937-S
in data	177-23561-S
in extenso	236-10688-B
in extremis	236-10882-B
in first out	179-13401-S
in flight	242-9757-B
in font	60-23128-S
in font table	60-21394-S
in function	60-23175-S,91-8240-S
in garbage out	196-5411-S
in glove	214-13459-S
in hand	188-20332-S,214-13534-S
in house	243-6202-B
in law	243-17646-B,59-18696-S,59-19114-S,115-4472-S,115-4675-S,172-27258-S,172-27932-S,296-11201-S,422-5592-S,422-5785-S,422-6287-S,430-23388-S,430-24963-S
in laws	243-17996-B
in lieu of	236-10980-B
in line package	141-19625-S
in loading	171-29029-S
in loco parentis	236-11002-B
in medias res	236-11149-B
in medicine	128-13140-S
in memoriam	236-11382-B
in migrant	243-18732-B
in migrate	243-18789-B
in migration	243-18847-B
in office	254-1705-S
in one	223-9908-S
in patient	244-8383-B
in period	62-5350-S
in point	69-10214-S
in propria persona	236-11476-B
in re	236-11609-B
in rem	236-11680-B
in service	244-22749-B
in situ	236-11823-B
in state	277-12821-S
in statu pupillari	236-11892-B
in status quo	236-11984-B
in strike	441-21119-S
in the box	254-1807-S
in the hole	470-18765-S
in the middle	280-25036-S
in the mud	443-19202-S
in the ring	260-5004-S
in the round	466-16136-S
in the slot	335-5661-S
in the slot machine	335-5789-S
in the throat	191-13831-S
in the wood	143-9110-S
in the wool	143-8779-S
in toed	249-10336-B
in toto	236-12091-B
in trade	444-17902-S
in tray	249-17646-B
in utero	236-12142-B
in vitro	236-12219-B
in vivo	236-12303-B
in waiting	262-15248-S,262-16943-S,274-29709-S,279-9448-S
in wrestling	14-7362-S
inability	236-12367-B
inaccessibility	236-12474-B
inaccessible	236-12542-B
inaccessibleness	236-12885-B
inaccessibly	236-13272-B
inaccuracy	236-13354-B
inaccurate	236-13488-B
inaccurately	236-13559-B
inaccurateness	236-13638-B
inaction	236-13720-B
inactivate	236-13826-B
inactivation	236-14017-B
inactive	236-14226-B,455-21990-S
inactively	236-14316-B
inactiveness	236-14347-B
inactivity	236-14551-B
inadaptability	236-14604-B
inadaptable	236-14760-B
inadequacy	236-14890-B
inadequate	236-15128-B
inadequately	236-15578-B
inadequateness	236-15650-B
inadhesive	236-15845-B
inadmissibility	236-15916-B
inadmissible	236-16157-B
inadmissibly	236-16473-B
inadvertence	236-16597-B
inadvertency	236-16792-B
inadvertent	236-16851-B
inadvertently	236-17097-B
inadvisability	236-17179-B
inadvisable	236-17246-B
inadvisableness	236-17377-B
inaesthetic	236-17545-B
inalienability	236-17609-B
inalienable	236-17675-B
inalienableness	236-17811-B
inalienably	236-17952-B
inalterability	236-17987-B
inalterable	236-18109-B
inalterableness	236-18211-B
inalterably	236-18276-B
inamorata	236-18311-B
inamorato	236-18399-B
inane	236-18792-B
inanely	236-19028-B
inanimate	236-19097-B
inanimately	236-19399-B
inanimateness	236-19432-B
inanimation	236-19629-B
inanition	236-19794-B
inanity	236-19898-B
inappeasable	236-20099-B
inappetence	236-20281-B
inappetency	236-20333-B
inappetent	236-20418-B
inapplicability	236-20452-B
inapplicable	236-20520-B
inapplicableness	236-20749-B
inapplicably	236-20885-B
inapposite	236-20992-B
inappositely	236-21175-B
inappositeness	236-21210-B
inappreciable	236-21360-B
inappreciably	236-21535-B
inappreciation	236-21574-B
inappreciative	236-21734-B
inappreciatively	236-21877-B
inappreciativeness	236-21920-B
inapprehensible	236-21992-B
inapprehension	236-22174-B
inapprehensive	236-22350-B
inapprehensiveness	236-22538-B
inapproachability	236-22763-B
inapproachable	236-22858-B
inapproachably	236-23041-B
inappropriate	236-23082-B
inappropriately	236-23175-B
inappropriateness	236-23270-B
inapt	236-23380-B
inaptitude	236-23534-B
inaptly	236-23729-B
inaptness	236-23754-B
inarch	236-23801-B
inarguable	236-23878-B
inarm	236-23951-B
inarticulacy	236-24009-B
inarticulate	236-24046-B
inarticulately	236-24552-B
inarticulateness	236-24655-B
inartificial	236-24807-B
inartificiality	236-25052-B
inartificially	236-25289-B
inartificialness	236-25371-B
inartistic	236-25440-B
inartistical	236-25680-B
inartistically	236-25736-B
inasmuch	236-25773-B
inasmuch as	236-26056-B
inattention	236-26123-B
inattentive	236-26221-B
inattentively	236-26474-B
inattentiveness	236-26529-B
inaudibility	236-26762-B
inaudible	236-26844-B
inaudibleness	236-26912-B
inaudibly	236-26969-B
inaugural	236-27039-B
inaugurate	236-27517-B
inauguration	236-27919-B
inauguration day	236-28067-B
inaugurator	236-28191-B
inauguratory	236-28308-B
inauspicious	236-28364-B
inauspiciously	236-28541-B
inauspiciousness	236-28632-B
inauthentic	236-28751-B
inauthenticity	236-28820-B
inbeing	236-28904-B
inboard	236-29319-B
inborn	236-29571-B
inbound	236-29659-B
inbreathe	236-29785-B
inbred	236-29922-B
inbreed	236-30004-B
inbreeding	236-30055-B
inbuilt	236-30103-B
inbye	236-30187-B
inc	236-30258-B
incalculability	236-30327-B
incalculable	236-30546-B
incalculableness	236-30933-B
incalculably	236-31346-B
incandesce	236-31432-B
incandescence	236-31526-B,321-12423-S
incandescent	236-31592-B
incandescently	236-31884-B
incantation	236-31923-B
incantational	236-32044-B
incantatory	236-32104-B
incapability	236-32277-B
incapable	236-32393-B
incapableness	236-32880-B
incapably	237-0-B
incapacious	237-154-B
incapaciousness	237-298-B
incapacitate	237-469-B
incapacitation	237-870-B
incapacity	237-1161-B
incarcerate	237-1404-B
incarcerated	237-1506-B
incarceration	237-1663-B
incarcerator	237-1828-B
incarnadine	237-1919-B
